,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
13172,1,Saratoga,Stillwater (Town),SARATOGA NATL.HIST.PARK,NPS ROUTE 500,KROMA KILL,National Park Service,1962,7,1
4960,5,Erie,Cheektowaga (Town),.5 MI N JCT US 20 & SH354,20  78 53021313,SLATE BOTTM CREEK,NYSDOT,1993,7,1
8099,4,Monroe,Hamlin (Town),3.8MI NW JCT RTS 360+19,REDMAN ROAD,YANTY CREEK,County,1946,7,1
7365,7,Lewis,Diana (Town),1.9 MI SW OF HARRISVILLE,STEAM MILL ROAD,W B OSWEGATCHIE R,County,1971,7,1
1004,11,Bronx,New York (City),1.3 MI N I295+I95,Ramp To NB 95I,95I  95IX1MR12A1,NYSDOT,1961,7,1
17455,4,Wyoming,Warsaw (Town),2.3MI N JCT RTS 19 + 20A,19  19 46021186,OATKA CREEK,NYSDOT,1937,7,1
13058,1,Saratoga,Edinburg (Town),5.8 MI E EDINBURG,FOX HILL ROAD,LITTLE HANS CREEK,Town,1932,7,1
7364,7,Lewis,Diana (Town),2.5 MI S OF HARRISVILLE,MARSHEY ROAD,WBR.OSWEGATCHIE R,County,1946,7,1
6550,2,Hamilton,,8 miles East of Long Lake,Kempshall Mountain Road,Fishing Brook,NYS Dept of Environmental Conservation,2016,7,1
5093,5,Erie,Concord (Town),5.8 MI N JCT US219 & SH39,SPRVLLE-BOSTON RD,EIGHTEEN MILE CRK,County,1999,7,1
11296,3,Oswego,Mexico (Town),1.4 MI N OF MEXICO,MINCLER ROAD,SAGE CREEK,County,1987,7,1
331,1,Albany,Westerlo (Town),IN HAMLET OF WESTERLO,COUNTY ROAD 1,BASIC CREEK,County,2007,7,1
10041,3,Onondaga,De Witt (Town),0.1 MI E JCT RTS 5+ I-481,5   5 33083024,BUTTERNUT CREEK,NYSDOT,1962,7,1
4974,5,Erie,Cheektowaga (Town),0.7 MI N JCT RTS 277 +130,277 277 53011169,SCAJAQUADA CREEK,NYSDOT,1948,7,1
16063,8,Ulster,Ulster (Town),JCT RT 199 < HUDSON R,199  199 86011021,COUNTY ROAD 37,NYS Bridge Authority,1957,7,1
832,11,Bronx,New York (City),.18 MI S JCT BRPC & BRP,907H907HX1M11022,BOSTON RD BX ZOO,City,1949,7,1
16328,1,Washington,Fort Ann (Town),FORT ANN-FARLEY ROAD,FARLEY ROAD,HALFWAY BROOK,County,1999,7,1
79,1,Albany,Albany (City),.2 MI N JCT I90 + I87,FR I90WB TO I87NB,RENSSELAER LAKE,NYSDOT,1986,7,1
13401,9,Schoharie,Esperance (Town),0.9 MI S JCT RTS 30A + 20,30A 30A95011050,FLY CREEK,NYSDOT,1933,7,1
868,11,Bronx,New York (City),JCT.I95 + I678 + I278,BE NB SERVICE RD,908A 908AX1M11000,City,1930,7,1
12262,11,Queens,New York (City),.9 MI NE I78+I495,SPRINGFIELD  BLVD,495I495IX5M14116,NYSDOT,1959,7,1
14121,6,Steuben,Cameron (Town),1.5 MI NE OF CAMERON MLLS,COUNTY ROAD 25,HELMER CREEK,County,1993,7,1
16617,8,Westchester,Bedford (Town),3.3 MI N EXIT 3 OF I684,SANCTUARY CONNECT,684I684I87011118,NYSDOT,1971,7,1
14847,10,Suffolk,Islip (Town),1.8 MI W JCT RTS 111+HSP,BRENTWOOD ROAD,908M908M07021110,NYSDOT,1961,7,1
6514,2,Hamilton,Long Lake (Town),4.2 MI E JCT RTS 28N & 30,28N 28N22011151,FISHING BROOK,NYSDOT,1932,7,1
16336,1,Washington,Fort Ann (Town),1.5 MI NW FORT ANN,WEST ROAD,HALFWAY BROOK,County,2003,7,1
16496,4,Wayne,Lyons (Town),1.3 MI W JCT RTE 414,DRY DOCK ROAD,ERIE CANAL,NYSDOT,1919,7,1
4723,5,Erie,Amherst (Town),0.7 W RT78 1.0 SE RT 263,GLEN OAKS DRIVE,RANSOM CREEK,Town,1973,7,1
10539,4,Ontario,Phelps (Town),JCT RTS 88 + NYS THRUWAY,90IX,88   88 44012134,NYS Thruway Authority,1953,7,1
475,6,Allegany,Birdsall (Town),1.6 MI S OF BIRDSALL,COUNTY ROAD 16,BLACK CREEK,County,1963,7,1
8663,10,Nassau,Glen Cove (City),IN GLEN COVE,HENDRICK AVENUE,107 107 03012006 N.B.,NYSDOT,1962,7,1
128,1,Albany,Berne (Town),.8 MI WEST OF EAST BERNE,"CR 2, COLE HILL RD.",FOX CREEK,County,1992,7,1
129,1,Albany,Berne (Town),1.5 MILES SW OF BERNE,"CR 9, CANADAY HILL RD.",SWITZ KILL,County,1990,7,1
13695,7,St Lawrence,Canton (Town),3 MI SE OF CANTON,"CR 27, FINE CTN L",LITTLE RIVER,County,1986,7,1
5981,2,Fulton,Bleecker (Town),6.0 MI NE OF BLEECKER,TANNERY ROAD,WEST STONY CREEK,Town,1920,7,1
5407,5,Erie,Orchard Park (Village),ORCHARD PARK EAST,FOREST DRIVE,BRANCH SMOKES CRK,Village,2014,7,1
15625,3,Tompkins,Enfield (Town),4.5 MI NW JCT SH327 &SH34,327 327 36011046,W BR ENFIELD CRK,NYSDOT,1938,7,1
5200,5,Erie,Grand Island (Town),HALF MI. SOUTH WHITEHAVEN,HARVEY ROAD,SPICER CREEK,Town,2009,7,1
882,11,Bronx,New York (City),IN PORT MORRIS,BRUCKNER BLVD.,278I278IX1051017,City,1909,7,2
12873,8,Rockland,Orangetown (Town),JCT RTS 340+PIP,340 340 85011006,987C 987C85011010,Palisades Interstate Park Commission,1954,7,2
1798,5,Cattaraugus,Ischua (Town),2.3 MILES SE OF ISCHUA,FARWELL ROAD,ISCHUA CREEK,County,1891,7,2
12874,8,Rockland,Orangetown (Town),JCT PIP+RTE 340,340 340 85011006,987C987C85011010,Palisades Interstate Park Commission,1954,7,2
9430,5,Niagara,Royalton (Town),1.5 MILES EAST OF RAPIDS,RIDDLE ROAD,MUD CREEK,County,1954,7,2
822,11,Bronx,New York (City),MACOMBS DAM PARK,87I TO MACOMBS BR,RELIEF,NYSDOT,1951,7,2
3009,9,Chenango,Coventry (Town),7.1 MI NW JCT SH 7 & SH 4,41  41 92021101,WILKINS BROOK,NYSDOT,1998,7,2
13462,9,Schoharie,Richmondville (Town),5.1 MI S OF COBLESKILL,WEST FULTON ROAD,HOUSE CREEK,County,1939,7,2
10618,4,Ontario,West Bloomfield (Town),1 MI SE OF W BLOOMFIELD,FACTORY HOLLOW RD,HONEOYE CREEK,County,1957,7,2
13436,9,Schoharie,Middleburgh (Town),2 MI SW OF MIDDLEBURG,W MIDDLEBURG ROAD,LINE CREEK,County,2014,7,2
13418,9,Schoharie,Fulton (Town),1 MI WEST OF FULTONHAM,PLEASANT VLLEY RD,TRIB SCHOHARIE CK,County,1947,7,2
2833,6,Chemung,Elmira (Town),4.3 MI SE OF ELMIRA,JENKINS ROAD,BALDWIN CREEK,County,1993,7,2
16069,8,Ulster,Ulster (Town),JCT RTS 209 & I87,209 209 86031339,87I 87I@MM93.56,NYSDOT,1995,7,2
1707,5,Cattaraugus,Freedom (Town),4.6 MI N JCT RTS 98 + 243,98  98 51011293,CLEAR CREEK,NYSDOT,1966,7,2
4013,9,Delaware,Franklin (Town),3 MI SE OF FRANKLIN,COUNTY ROAD 21,W BR HANDSOME BRK,County,1962,7,2
4014,9,Delaware,Franklin (Town),1 MI S OF FRANKLIN,CR21WALTON-FRNKLN,E BR HANDSOME BRO,County,1969,7,2
6863,7,Jefferson,Clayton (Town),1 HALF MI NW REYNOLDS COR,DEPAUVILLE ROAD,HORSE CREEK,County,1983,7,2
6308,1,Greene,Coxsackie (Town),1.0 MI S JCT RTS 9W & 81,9W  9W13041162,COXSACKIE CREEK,NYSDOT,1996,7,2
6675,2,Herkimer,Middleville (Village),0.1M E JCT RTS 28&29,29  29 23011001,MALTANNER CREEK,NYSDOT,1994,7,2
16560,4,Wayne,Williamson (Town),AT PULTNEYVILLE,HAMILTON STREET,SALMON CREEK,County,1998,7,2
2813,6,Chemung,Chemung (Town),6.5 MI N OF CHEMUNG,MCDOWELL ROAD,WYNCOOP CREEK,County,1957,7,2
16068,8,Ulster,Ulster (Town),JCT RTS 209 & I87,209 209 86031339,87I 87I@MM93.56,NYSDOT,1995,7,2
4015,9,Delaware,Franklin (Town),3.2MI.W.FRANKLIN,E HANDSOME BR RD,E. HANDSOME BROOK,County,1982,7,2
3028,9,Chenango,Greene (Town),2 MI NW JCT SH 206 & SH 1,206 206 92021025,GENEGANTSLET CRK,NYSDOT,1992,7,2
10229,3,Onondaga,Minoa (Village),2.8MI S OF SHEPPS CORNERS,COSTELLO PARKWAY,CSX TRANS/AMTRAK,County,1957,7,2
