,Needs Repair
13172,N
4960,N
8099,N
7365,N
1004,N
17455,Y
13058,Y
7364,Y
6550,N
5093,N
11296,N
331,N
10041,N
4974,N
16063,N
832,N
16328,N
79,N
13401,N
868,N
12262,Y
14121,N
16617,N
14847,N
6514,N
16336,N
16496,Y
4723,N
10539,N
475,N
8663,N
128,N
129,N
13695,N
5981,Y
5407,N
15625,N
5200,N
882,N
12873,N
1798,N
12874,N
9430,N
822,N
3009,N
13462,N
10618,N
13436,N
13418,N
2833,N
16069,N
1707,N
4013,Y
4014,N
6863,N
6308,N
6675,N
16560,N
2813,Y
16068,N
4015,N
3028,N
10229,N
3025,N
1996,N
16240,N
11981,N
9011,N
8319,Y
8422,N
2358,N
5205,N
1204,N
5197,N
5232,Y
2552,N
9607,N
8195,N
5345,N
9612,N
5231,Y
7003,N
1341,N
9702,N
1343,N
3193,N
1340,N
1200,N
14096,N
14086,N
15293,N
9021,N
345,N
16390,N
10395,N
16881,N
2523,N
3798,N
7552,N
6473,Y
247,N
2522,N
17265,Y
379,N
15260,N
13177,N
7334,N
14661,N
15583,N
13134,N
1046,N
12026,N
8063,N
6636,N
12846,N
7199,N
16144,N
3631,N
3632,N
17489,N
13709,N
4389,N
6060,N
13704,N
16223,Y
4547,N
16227,Y
2144,N
15053,N
8661,N
11879,N
1150,Y
17403,N
4728,Y
5912,N
5499,N
12367,N
4009,Y
16320,N
16466,N
8262,N
4011,N
1414,N
10564,N
2077,N
139,N
5055,N
10561,N
16574,N
10815,N
8244,N
15921,N
4718,N
6638,N
5032,N
4757,N
9871,N
15895,Y
8045,N
8041,N
17180,N
16995,N
16872,Y
7420,N
16847,N
12886,N
10963,N
11045,N
9166,N
5120,N
16982,N
15371,N
2485,N
5989,Y
3505,N
13323,N
8933,N
13703,N
11885,N
8064,N
7550,N
15504,N
10191,N
14428,N
6451,N
3774,N
7152,N
2088,Y
6129,N
6059,N
7394,N
6002,Y
3446,N
7330,N
7200,N
12033,N
9289,N
13793,N
6051,N
15541,N
16178,N
12008,N
1533,N
816,N
10631,N
323,N
12544,N
10096,N
12176,N
324,N
2910,N
2903,N
17329,N
15150,N
245,N
11154,N
15133,N
16857,N
502,N
17524,N
13052,N
17140,N
17236,N
781,N
17011,N
15127,N
7251,N
6320,N
17234,N
284,N
751,Y
17510,N
11521,N
13057,N
6325,N
6309,N
4487,N
4471,N
9054,N
6398,N
4484,N
12277,N
9173,N
4311,N
7253,N
4388,N
4609,Y
272,N
8103,N
7695,N
13460,Y
13459,N
17161,N
16914,N
7750,N
7245,N
17208,N
7096,N
15209,N
15210,N
12607,N
12543,N
5389,N
10127,N
17219,N
4623,N
8433,N
15599,N
10128,N
1633,N
788,N
976,N
1040,N
10188,Y
13293,Y
14319,N
11542,N
17438,N
102,N
16233,N
16232,N
13265,N
8555,N
14653,N
2452,N
13861,N
2364,Y
6702,N
11060,N
2689,N
4612,N
6064,N
14950,N
9852,N
6703,N
11544,N
14042,N
7606,N
7603,N
9379,Y
11938,N
7608,N
11224,N
11628,N
14039,N
8249,N
11225,Y
6482,Y
4417,Y
17384,N
11669,N
10809,N
9417,N
12542,N
11638,N
153,N
4325,N
3173,N
6909,Y
13073,N
14970,N
15055,N
3187,N
12456,N
154,N
4833,N
17480,Y
17483,N
12537,N
11283,N
366,N
849,N
13268,N
2057,N
12498,N
3360,N
10469,N
4246,N
2029,N
3358,N
13269,N
17390,N
17439,N
17349,N
3367,N
15042,N
4979,N
16951,N
338,N
8521,N
2306,N
455,N
3870,N
8637,N
3864,N
16331,N
17164,N
10189,N
456,N
13583,N
2573,N
4064,N
4581,N
4557,N
11815,N
309,N
8272,Y
8611,N
12898,N
17187,N
5747,N
12654,N
4844,N
12216,N
2175,N
440,N
17147,N
9687,N
3649,N
2174,N
5218,N
15425,N
4504,N
16004,N
11695,N
4465,N
746,N
6730,N
15108,N
6728,N
11696,N
14523,N
14036,N
15974,N
1560,N
6633,N
14396,N
15452,N
15534,N
