,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
16413,1,Washington,Kingsbury (Town),AT PATTENS MILLS,PATTENS MILLS RD,HALFWAY BROOK,County,1942,8,1
9960,2,Oneida,Whitestown (Town),.75 MI S OF ORISKANY,CR32 VALLEY ROAD,ORISKANY CREEK,County,1986,8,1
13549,6,Schuyler,Hector (Town),0.2 MI NORTH OF VALOIS,414 414 63031207,BREAKNECK CREEK,NYSDOT,1992,8,1
13963,7,St Lawrence,Stockholm (Town),0.5 MI SE OF WINTHROP,"CR 49, HOPKINTON-",E BR ST REGIS RVR,County,1932,8,1
10462,4,Ontario,Canandaigua (City),.4 MI W JCT US 20 & SH332,WEST AVENUE,SUCKER BROOK,City,2010,8,1
16203,1,Warren,Johnsburg (Town),1 MI.N.SODOM,A.HITCHCOCK ROAD,CHATIEMAC BROOK,Town,1982,8,1
16209,1,Warren,Johnsburg (Town),1MI S OF JOHNSBURG,CR57 JOHNSBURG RD,MILL CREEK,County,1978,8,1
16211,1,Warren,Johnsburg (Town),.5M E WEVERTOWN,DILLON HILL RD,MILL CREEK,County,1889,8,1
695,6,Allegany,Wellsville (Town),1.8 MI E OF WELLSVILLE,COUNTY ROAD 30,TRAPPING BROOK,County,1985,8,1
696,6,Allegany,Wellsville (Town),IN WELLSVILLE,FASSETT LANE,CROWNER BROOK,Town,1970,8,1
13953,7,St Lawrence,Stockholm (Town),5.2 MI E JCT 11B + 56,11B 11B75011257,WEST BR ST REGIS,NYSDOT,1971,8,1
13926,7,St Lawrence,Rensselaer Falls (Village),IN RENSSELAER FALLS,RENSSELAER STREET,OSWEGATCHIE RIVER,County,2012,8,1
16327,1,Washington,Fort Ann (Town),1 MILE NW OF FORT ANN,COUNTY ROAD 16,HALFWAY CREEK,County,2014,8,1
13167,1,Saratoga,South Glens Falls (Village),JCT RT 9 & HUDSON RIVER,9   9 15093168,SRD SCA TISSUE,NYSDOT,2004,8,1
3751,3,Cortland,Homer (Town),5.5 MI N OF MC GRAW,YOUNGS CROSSING,E BR TIOUGHNIOGA,County,1998,8,1
7694,2,Madison,Chittenango (Village),IN CHITTENANGO,RUSSELL STREET,CHITTENANGO CREEK,County,1982,8,1
9408,5,Niagara,Porter (Town),1.9 MI NW OF RANSOMVILLE,BRALEY ROAD,TWELVEMILE CREEK,County,1948,8,1
13770,7,St Lawrence,Fowler (Town),2.0 MI NE OF HAILESBORO,ISLAND BRANCH RD.,IS.BR.OSWEGATCHIE,County,1961,8,1
6063,2,Fulton,Stratford (Town),3.1 MI W JCT RTS 10 & 29A,29A 29A21021063,BURNT VLY STREAM,NYSDOT,1994,8,1
10466,4,Ontario,Canandaigua (Town),2.0 MI NE OF CANANDIAGUA,COUNTY ROAD 4,CANANDAIGUA OUTLE,County,1991,8,1
13745,7,St Lawrence,Edwards (Town),IN SOUTH EDWARDS,COUNTY ROAD 23,OSWEGATCHIE RIVER,County,1998,8,1
7587,4,Livingston,North Dansville (Town),0.5 MI W OF DANSVILLE,436 436 42021189,CANASERAGA CREEK,NYSDOT,1965,8,1
17345,4,Wyoming,Arcade (Town),2 MILES NE OF ARCADE,EAST ARCADE ROAD,CATTARAUGUS CREEK,County,1981,8,1
5224,5,Erie,Hamburg (Town),EXIT 57 OF I90,90IX EXIT 57 RAMP HAMBURG,90IX,NYS Thruway Authority,1955,8,1
231,1,Albany,Colonie (Town),NEW SPARROWBUSH OVER I87,SPARROWBUSH RD,87I 87I11082054,NYSDOT,1984,8,1
16757,8,Westchester,Harrison (Village),1.1 MI W JCT I287 & HRP,684I RAMP TO 287I,WESTCHSTR AV-CR62,NYSDOT,1969,8,1
11368,3,Oswego,Redfield (Town),3.3 MI N OF REDFIELD,HARVESTER MILL RD,N BR SALMON RIVER,County,1986,8,1
5667,1,Essex,Minerva (Town),.5MI E OLMSTEADVILLE,DONNELLY ROAD,MINERVA STREAM,County,1953,8,1
401,6,Allegany,Amity (Town),2.0 MI SE OF BELMONT,INGRAHAM ROAD,PLUM BOTTOM CRK,Town,1980,8,1
14948,10,Suffolk,Southampton (Town),1.8 MI E SH 24 & SH 27,27  27 07051511,NEWTOWN ROAD,NYSDOT,1963,8,1
731,6,Allegany,Willing (Town),2.5 MI NW OF SHONGO,GRAVES ROAD,OREBED CREEK,Town,1990,8,1
