,Needs Repair
16413,N
9960,N
13549,N
13963,N
10462,N
16203,N
16209,N
16211,N
695,N
696,N
13953,N
13926,N
16327,N
13167,N
3751,N
7694,N
9408,N
13770,N
6063,N
10466,N
13745,N
7587,N
17345,N
5224,N
231,N
16757,N
11368,N
5667,N
401,N
14948,N
731,N
999,N
5227,N
1327,Y
6221,N
12235,N
348,N
12533,N
12188,N
9542,N
15094,N
12284,N
12289,N
12424,N
12416,N
15353,N
15352,N
4750,N
5,N
8346,N
6110,N
10022,N
240,N
5282,N
10170,N
16623,N
16604,N
5612,N
9950,N
4827,N
12110,N
9476,Y
9947,N
16622,N
17450,N
8894,N
8351,Y
13775,N
9240,N
14739,N
15922,N
9883,N
10946,N
5760,N
6447,N
10978,N
1132,N
16459,N
9051,N
15191,N
7404,N
13305,N
12999,N
15174,N
5761,N
11064,N
2061,N
3271,N
3272,N
6329,N
8492,N
8455,N
2695,Y
11333,Y
37,N
14619,N
8445,N
9075,N
14015,N
14016,N
10878,N
15814,Y
10785,N
36,N
8236,N
14630,N
7201,N
12392,Y
8503,Y
9664,N
10241,N
286,N
16708,N
7915,N
6402,N
2814,N
12532,N
12567,N
10152,N
16725,N
10162,N
10243,N
12097,N
16222,N
15012,N
141,N
14998,N
5957,Y
15146,N
15008,N
17221,N
16050,N
1264,N
6918,N
15010,N
9277,N
5956,Y
1751,N
17138,N
4265,N
1752,N
15285,N
6676,N
782,Y
5270,N
15284,N
9803,N
13553,N
3901,N
5215,Y
11857,N
15286,N
14640,N
14596,N
9385,N
11376,N
16133,N
7260,N
1036,N
12990,N
7525,N
112,N
6793,N
8973,N
11353,Y
14713,N
7204,N
113,N
2741,N
8977,N
16760,N
9275,N
11057,Y
9097,N
16265,N
11185,N
7947,N
7653,N
145,N
11828,N
11023,N
2109,N
16264,N
7619,N
9219,N
4044,N
12676,N
15776,N
4045,N
14637,N
14793,N
12701,N
6077,N
16281,N
457,N
12199,N
160,N
16158,N
9990,N
15217,N
3952,N
10268,N
3965,N
12702,N
2265,N
10223,N
2264,N
5533,N
3489,N
3490,N
9071,Y
12895,N
12983,N
3604,N
12841,N
2551,N
6988,N
12383,N
5985,N
12385,N
2549,N
12191,N
15499,N
8458,N
959,N
