,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
818,11,Bronx,New York (City),.7 MI SE I78+I95,295I 295IX1M21027,RANDALL AVENUE,NYSDOT,1961,9,1
13032,1,Saratoga,Clifton Park (Town),JCT SH 146A AND D & H RR,146A146A15011016,DELAWARE & HUDSON,NYSDOT,1993,9,3
9278,5,Niagara,Lockport (Town),0.9 MI NE OF MILLERSPORT,BARTZ ROAD,BR  MUD CREEK,Town,1960,9,3
1103,9,Broome,Binghamton (City),CITY OF BINGHAMTON,EXCHANGE STREET,SUSQUEHANNA RIVER,City,1901,9,3
15608,3,Tompkins,Dryden (Town),1.6 MILES NW OF DRYDEN,SOUTH GEORGE ROAD,VIRGIL CREEK,County,1936,9,3
13193,1,Saratoga,Wilton (Town),IN WILTON,87I 87I15091238,DELAWARE & HUDSON,NYSDOT,2007,9,3
15385,9,Tioga,Berkshire (Town),1.2 MI NW OF BERKSHIRE,JEWETT HILL ROAD,JEWETT HILL CREEK,Town,1936,9,3
5754,1,Essex,Ticonderoga (Town),TICONDEROGA,LORD HOWE STREET,TROUT BROOK,County,2015,9,3
11253,3,Oswego,Hannibal (Village),AT HANNIBAL,MILL STREET,NINEMILE CREEK,County,1965,9,3
13192,1,Saratoga,Wilton (Town),IN WILTON,87I 87I15091238,DELAWARE & HUDSON,NYSDOT,2007,9,3
9824,2,Oneida,Utica (City),BARNES AVE UTICA N OF 5A,BARNES AVE,MOHAWK RIVER,County,1935,9,3
8081,4,Monroe,Hamlin (Town),1.9MI W JCT RTS 18 & 19,18  18 43031020,SCHWIND CREEK,NYSDOT,1931,9,3
3430,8,Columbia,Austerlitz (Town),0.1 MI E JCT RTE203+TSP,203 203 81011066,INDIAN CREEK,NYSDOT,1960,9,3
5578,1,Essex,Elizabethtown (Town),2 MI SW ELIZABETHTOWN,LOBDELL ROAD,BOUQUET RIVER,County,2011,9,3
2278,5,Chautauqua,Ellery (Town),1.7 MI SE OF BEMUS POINT,17  17 52111214,WESTMAN ROAD,NYSDOT,1976,9,3
15595,3,Tompkins,Dryden (Town),IN ETNA,COUNTY ROAD 109,FALL CREEK,County,1960,9,3
5072,5,Erie,Concord (Town),6.3MI N JCT RTES 219 & 39,219  219 53121086,TREVETT ROAD,NYSDOT,1981,9,3
2621,5,Chautauqua,Sherman (Town),1.6 MI E JCT I86 & SH 37,86I 17 52111108,WAIT CORNERS ROAD,NYSDOT,1982,9,3
4204,9,Delaware,Roxbury (Town),1.8 MI NW OF GRAND GORGE,BRUCE PORN ROAD,BEAR KILL,County,1968,9,3
5071,5,Erie,Concord (Town),6.3MI N JCT RTES 219 & 39,219  219 53121086,TREVETT RD CR420,NYSDOT,1981,9,3
8667,10,Nassau,Great Neck Plaza (Village),1.6 MI SW OF MANHASSET,MIDDLE NECK ROAD,LONG ISLAND-PT WS,County,1935,9,3
10211,3,Onondaga,Manlius (Village),.4 MI SW JCT SH92 & SH173,173 173 33013074,W B LIMESTONE CRK,NYSDOT,1962,9,3
2620,5,Chautauqua,Sherman (Town),1.6 MI E JCT I86 & SH 76,86I 17 52111107,WAIT CORNERS ROAD,NYSDOT,1996,9,3
10528,4,Ontario,Naples (Town),.8 MI E JCT SH 245 & SH21,245 245 44041007,EAST OVERFLOW CRK,NYSDOT,1930,9,3
10534,4,Ontario,Naples (Village),.1 MI E JCT SH 245 & SH21,245 245 44041001,NAPLES CRK OVFLOW,NYSDOT,1929,9,3
8877,10,Nassau,Oyster Bay (Town),JCT RTE 135+NSP,135 135 03011104,908G908G03011145,NYSDOT,1962,9,3
12848,8,Rockland,Hillburn (Village),2.5 MI SE OF SLOATSBURG,FOURTH STREET,AVON SERVICE ROAD,Railroad,1965,9,3
10255,3,Onondaga,Pompey (Town),.5 MI E OF DELPHI,POMPEY HOLLOW RD,LIMESTONE CREEK,County,1928,9,3
9870,2,Oneida,Verona (Town),04MI S  JCT RTS 234+365,31 31 26011066,90IX,NYS Thruway Authority,1954,9,3
13792,7,St Lawrence,Hermon (Town),1.0 MI S OF HERMON,POND ROAD,ELM CREEK,County,1960,9,3
14456,6,Steuben,Lindley (Town),1.1 MILES NE OF LINDLEY,COUNTY ROAD 120,TANNERY CREEK,County,1991,9,3
13939,7,St Lawrence,Russell (Town),4 MILES SOUTH OF HERMON,COUNTY ROAD 21,ELM CREEK,County,1924,9,3
7424,7,Lewis,Lyons Falls (Village),VILLAGE OF LYONS FALLS,FULTON STREET,HOSKINS CREEK,Town,1960,9,3
15849,8,Ulster,Kingston (City),AT KINGSTON,GREENKILL AVENUE,BROADWAY RTE 28,City,2017,9,3
12705,11,Richmond,New York (City),IN NEW DORP,LINCOLN AVENUE,SIRT SOUTH SHORE,Metropolitan Transportation Authority,1952,9,3
13735,7,St Lawrence,De Kalb (Town),1.3 MI SW OF DE KALB JUNC,COUNTY ROAD 17,TANNER CREEK,County,2010,9,3
15638,3,Tompkins,Groton (Town),1.3 MI NW CORT CL;RTE 222,222 222 36011042,FALL CREEK,NYSDOT,1959,9,3
