,Needs Repair
818,N
13032,N
9278,N
1103,N
15608,N
13193,N
15385,Y
5754,N
11253,N
13192,N
9824,Y
8081,N
3430,N
5578,N
2278,N
15595,Y
5072,Y
2621,N
4204,Y
5071,N
8667,N
10211,N
2620,N
10528,N
10534,Y
8877,N
12848,N
10255,Y
9870,N
13792,N
14456,N
13939,N
7424,N
15849,N
12705,N
13735,N
15638,N
2843,N
12004,N
16080,N
10945,N
5036,N
14124,N
8116,N
5024,N
2307,N
4215,Y
14123,N
13431,N
9382,N
10082,N
15628,N
11242,N
4216,N
8191,N
6872,N
5731,N
9293,N
2976,Y
1545,N
10592,N
10648,N
1538,N
11502,N
7046,N
14291,N
14332,N
611,Y
9525,Y
10661,N
1023,N
17132,N
9784,N
5732,N
5739,N
9418,N
16478,N
14346,N
9625,N
494,N
4230,N
9619,N
9618,N
4240,N
11429,N
4241,N
14832,N
6968,N
6306,N
4244,N
9921,N
3014,N
462,N
3735,N
6798,N
11218,N
7087,N
10384,N
11262,N
518,N
3694,N
15768,N
16598,N
496,N
3115,N
16599,N
6996,N
6995,N
5574,N
6818,N
16528,N
6817,N
16514,N
14910,N
3204,N
11263,N
3114,N
1225,N
14470,N
4627,N
2279,N
2492,N
12225,N
7607,N
1299,N
1156,N
6986,N
14762,N
14761,N
7549,Y
8238,N
7613,N
7617,N
1470,N
5074,N
12709,N
4209,Y
17486,N
10161,N
13667,N
6836,N
16286,Y
13507,N
15657,N
13148,N
2007,N
11072,Y
4338,N
11087,N
6073,Y
10789,N
15643,N
15640,N
5585,N
16123,N
7898,N
13145,N
10780,N
4212,N
13643,N
9465,N
13150,N
17278,N
2047,N
6456,N
11282,N
8012,N
5421,N
5419,N
16044,Y
10931,N
8842,N
2069,N
5627,N
6519,N
3352,N
5932,N
11372,N
11373,N
3355,N
10250,N
6896,N
3351,N
2363,N
197,N
11641,N
5940,N
12187,N
6014,N
4769,N
6018,N
3577,N
7391,N
15360,N
7892,N
6041,N
10436,N
4773,N
856,N
2775,N
15359,N
11737,N
14627,N
7472,Y
4653,N
14076,N
6324,N
15046,N
10927,N
3411,N
5529,N
7288,N
4659,N
2313,N
5765,N
450,Y
9495,N
610,N
5767,N
451,Y
15528,N
12920,N
15057,N
15049,N
11335,N
13671,N
15942,N
8828,N
3655,N
604,N
14095,N
6395,N
16243,N
14682,N
12360,N
16249,Y
14993,N
5165,N
15753,Y
14681,N
5633,Y
13497,Y
16949,N
13544,N
13542,N
13548,N
10053,N
9548,N
9531,N
5784,N
5783,N
8270,N
4914,Y
5781,N
8692,N
7933,N
6523,N
8694,N
5575,Y
17066,N
6524,N
12473,N
12740,N
8271,N
4027,N
6408,N
16806,N
13665,N
10264,N
12145,Y
17356,N
4468,N
3913,N
17465,N
4346,N
12126,N
5073,N
13364,Y
10489,N
7925,N
8487,Y
3621,Y
4430,Y
15579,N
12882,N
5116,N
8991,N
5115,N
4266,N
3420,N
7810,N
7833,N
9731,N
8278,N
15984,N
11071,Y
801,Y
5676,N
11156,N
5413,N
5146,N
13303,N
9781,N
5675,N
2818,N
11098,N
7752,N
9675,N
6316,N
10299,N
3783,Y
8665,Y
199,N
5759,N
15480,N
12885,N
206,Y
8277,N
7278,N
15043,N
14438,N
13617,N
9906,N
9613,N
16746,N
4996,N
15232,N
4576,N
12887,N
2828,N
15206,N
15572,N
7748,N
3900,N
14904,N
14041,N
15379,Y
5100,N
15382,N
660,N
13621,N
5192,N
6931,Y
14905,N
5717,N
11731,N
12845,N
11732,N
806,N
15024,N
15310,N
16522,N
9158,N
7263,N
1761,N
6531,N
4837,N
11414,Y
2475,N
16117,Y
1762,N
6528,N
6413,N
16195,N
15703,Y
8699,N
7111,N
831,Y
14742,N
5455,N
7809,Y
3436,N
4992,N
8673,N
12150,N
9726,N
11598,N
9111,N
8086,Y
5456,N
7788,N
12036,N
6635,Y
16886,N
3437,N
13316,N
17350,N
4711,N
9878,N
8905,N
12630,N
11164,N
1565,N
13325,N
9183,N
1556,N
1555,N
8643,N
8603,N
9318,N
5198,Y
8124,N
16060,N
14241,N
3463,N
2440,N
14384,N
11691,N
8390,N
10273,N
15760,N
6871,N
6508,N
10698,N
4849,N
11712,N
8726,N
4843,N
11692,N
2444,N
1887,N
1907,N
11693,N
10974,N
2206,N
15737,N
13615,N
8833,N
1220,N
15717,N
2928,N
1886,N
3502,N
7168,N
7385,N
7376,Y
7503,N
14218,N
11085,N
16502,N
10437,N
6685,N
1729,N
1730,N
13763,N
15469,N
2210,N
14120,N
2808,N
5438,N
13336,N
14750,N
2207,N
7352,Y
2209,N
6674,N
15603,N
7143,N
10767,N
8818,N
3289,N
6715,N
10961,N
1842,N
516,N
4646,N
14563,N
12573,N
9234,N
9463,N
3268,N
11016,N
11040,N
11267,N
7954,N
1864,N
3282,N
5103,N
11363,N
1955,N
5030,N
5031,N
4658,N
8539,N
4665,N
9435,Y
2630,N
13620,N
467,Y
1219,N
10845,Y
10309,N
1127,N
1185,N
9129,Y
11670,N
7442,N
15683,N
7454,N
6799,N
7505,N
7941,N
10516,Y
10517,Y
4480,N
11471,N
2201,N
7942,N
6831,N
2462,N
5849,N
9288,Y
9733,N
7943,N
17503,N
4396,N
12714,N
1670,N
9323,N
7618,N
7625,N
9621,N
10666,N
14183,N
14716,N
1176,N
8639,N
14686,N
14685,N
2671,N
11063,N
4205,N
4207,N
14028,N
13849,Y
9543,N
13875,N
14078,N
7741,N
5974,N
6955,N
2536,N
2535,N
6527,Y
14794,N
10681,N
673,N
659,N
5656,N
4062,N
12837,N
13645,N
16730,N
13654,N
479,N
3659,Y
9241,N
459,N
13405,N
10837,Y
1819,N
3931,N
16064,N
6967,N
4022,N
16062,N
3969,N
16061,N
1802,N
15447,N
1918,N
3976,N
4303,N
5773,N
2983,N
10076,N
15871,N
10038,N
14453,N
13474,N
9939,N
11271,N
177,N
3933,N
1818,N
11899,N
1195,N
13407,N
7533,N
5174,N
10274,N
13626,N
10258,N
717,N
5173,Y
15141,N
6589,N
7298,N
13342,N
16109,N
13991,N
4028,N
15616,N
11479,N
4685,N
12696,N
10575,N
11534,Y
6764,N
15556,N
8845,N
8525,N
6765,N
6769,N
9899,N
5952,N
10552,Y
5950,N
10669,N
13938,N
11517,N
3177,N
4349,N
7504,N
11514,N
17342,Y
15680,N
13186,N
15617,N
10607,N
5945,N
13708,N
6158,N
3814,N
775,N
8409,N
10761,N
6529,Y
3456,N
14838,N
10943,N
15245,N
6197,N
12343,N
5687,N
9429,N
2059,Y
8414,N
4722,N
3752,N
10840,N
7077,N
4563,N
12124,N
13110,N
2581,N
3824,Y
2580,N
13887,N
1123,Y
15851,N
2975,N
2974,N
1552,N
6038,Y
4206,N
1006,N
9611,N
13409,N
14258,N
4774,N
69,N
5721,N
9,N
7408,N
8,N
9606,N
1578,N
13406,N
16549,N
9331,N
32,N
17472,N
10145,N
10144,N
8443,N
9488,N
9823,N
17375,N
17382,N
7458,N
17395,N
1514,N
3714,N
7462,N
1513,N
4058,N
7304,N
72,N
4057,N
9332,N
16566,N
1814,N
10777,N
9286,N
16041,N
10640,N
1806,N
15139,N
3143,N
7952,N
2092,Y
1821,N
6839,N
12086,N
6604,N
15140,N
3128,N
15879,Y
4092,N
3494,Y
11039,N
2965,N
15793,N
15675,N
3318,N
7982,N
4087,N
7043,N
3317,N
3539,N
16247,N
3327,N
1253,N
3326,Y
11019,N
11975,N
8207,N
11966,Y
2276,N
11495,N
10112,N
12366,N
9125,N
12655,N
11686,N
14117,Y
11190,N
10430,Y
16702,N
3902,Y
5340,N
5001,N
2774,N
2297,N
8202,N
5922,N
1111,N
3622,N
2716,N
9783,Y
12750,N
12751,N
16483,N
12752,N
3613,N
1807,Y
9279,N
3891,N
5811,Y
12700,N
3785,N
2166,Y
4483,N
13877,Y
13872,N
7324,N
7326,N
9637,N
7325,N
3198,N
12388,N
5919,N
10323,N
13757,N
3966,Y
3479,Y
16820,N
3480,Y
14071,N
2649,N
17412,N
15459,N
8257,N
16756,N
4123,N
8211,N
11630,N
10833,N
13616,N
12370,N
7778,Y
11452,N
5907,N
10203,N
13389,N
10818,N
4970,N
4137,Y
13633,N
57,N
12387,N
13366,N
13769,N
3944,N
7870,N
3062,N
17522,N
14494,N
7410,N
1295,N
8066,N
14912,N
6743,N
9991,N
823,N
14881,N
14503,N
8162,N
7441,N
14111,N
8132,N
10116,N
8228,N
15533,N
8258,N
1581,N
15529,N
13393,N
14269,N
9744,N
17264,N
17347,N
9935,N
9982,N
2439,N
3161,N
13400,Y
3951,N
12801,N
499,N
8987,N
699,Y
14944,N
16429,N
12797,N
14945,N
16434,N
12799,N
209,N
12297,N
234,N
9064,N
11683,Y
14873,N
12377,N
12775,N
4228,Y
2797,Y
6791,N
9105,N
9106,N
12774,N
14287,N
3686,N
495,N
12463,N
12665,N
15712,Y
4733,Y
1017,N
6772,N
6206,N
15670,N
8306,N
827,N
6029,N
195,N
9108,N
11007,N
9574,N
6729,N
17396,N
11904,N
8307,N
13840,N
7812,N
6205,N
12706,N
7282,N
9272,N
2354,N
9341,N
10368,N
12306,N
1809,N
16407,N
12803,N
12843,N
12842,N
14097,Y
11024,N
10754,N
11049,N
7154,N
15706,Y
4434,N
8125,N
12777,N
12776,N
10821,N
10036,N
1973,N
1803,N
1984,N
1709,N
1304,N
7536,N
8428,N
7537,N
3698,N
2312,N
2574,N
2388,Y
526,N
2318,N
3410,N
3401,N
3831,N
2577,N
2480,N
2579,N
15240,N
507,N
14744,N
14717,N
11958,N
13625,N
13627,N
1805,Y
3511,N
9130,N
4402,N
2757,N
9230,N
13036,N
9232,N
6497,N
13595,Y
13066,N
1688,N
2542,Y
2537,N
7578,N
4429,N
9342,N
13042,N
10275,N
1790,N
1137,N
13296,N
8441,N
2394,N
1789,N
5999,N
15738,Y
13444,N
6948,N
12844,N
6620,N
13443,N
681,N
14708,N
2578,N
6797,N
685,N
13068,N
10021,N
1138,N
6586,N
6951,N
4909,N
13635,N
13071,N
7792,N
9364,N
13238,N
13237,N
13928,N
13072,N
11326,N
4830,N
2697,N
1586,N
13851,Y
15201,N
14501,N
13209,N
8714,N
4831,N
8719,N
13211,N
9924,N
5870,N
3687,Y
706,N
16337,N
2777,N
1795,Y
13308,N
3997,N
10485,N
8811,N
704,N
1357,N
3712,N
14499,N
15919,Y
1358,N
9494,N
3815,N
12974,N
10797,N
9489,N
12249,N
4495,N
9749,N
15362,N
1493,N
14727,N
10822,N
15659,N
8108,N
2065,N
5816,N
13777,N
11439,N
16394,N
9773,N
12224,N
1404,N
11724,N
17442,Y
2096,N
15380,N
7893,N
8792,N
