,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
11088,4,Orleans,Albion (Village),JCT S.H.98 & BARGE CANAL,98  98 45041081,ERIE CANAL,NYSDOT,1914,10,1
9959,2,Oneida,Whitestown (Town),8 MI W EXIT 31 OF I90,90IX,ORISKANY CREEK,NYS Thruway Authority,2000,10,1
9972,3,Onondaga,Baldwinsville (Village),RTE 31 AT BALDWINSVILLE,48  48 33011054,NYS BARGE CANAL,NYSDOT,1909,10,1
13491,9,Schoharie,Seward (Town),.1 MI SOUTH OF HYNDSVILLE,PATRICK ROAD,WEST CREEK,County,1900,10,1
7529,4,Livingston,Groveland (Town),0.8MI NE JCT RTS 63 + 258,63  63 42021112,Mosquito Creek,NYSDOT,1939,10,1
7530,4,Livingston,Groveland (Town),5.2MI NE JCT RTS 63 + 258,63  63 42021136,UNKNOWN CR,NYSDOT,1939,10,1
4739,5,Erie,Amherst (Town),JCT RT 277 + I-98,NYS Route 277,90IX,NYS Thruway Authority,1954,10,1
13879,7,St Lawrence,Parishville (Town),IN VILLAGE OF PARISHVILLE,72  72 75011084,W BR ST REGIS RIV,NYSDOT,1934,10,1
10649,8,Orange,Chester (Town),WEST OF CHESTER TOWN LINE,GREYCOURT RD,HERITAGE TRAIL,County,1980,10,1
15801,8,Ulster,Esopus (Town),0.5MI S OF KINGSTON,CONNELLY ROAD,PLANTASIA CREEK,County,1983,10,1
8929,10,Nassau,Oyster Bay (Town),EXIT 31 SSP EB TO BSP NB,SSP WB TO BSP NB,MASSAPEQUA CREEK,NYSDOT,1990,10,1
3035,9,Chenango,Greene (Town),2.5 MI SO WEST OF GREENE,GENEGANTSLET ROAD,INDIAN BROOK,County,2002,10,1
1389,9,Broome,Union (Town),1.9 MI E JCT SH 17 & SH 2,17  17 91071057,PATTERSON CREEK,NYSDOT,1969,10,1
11002,8,Orange,Warwick (Town),3.3 MI S OF WESTTOWN,OIL CITY ROAD,WALLKILL RIVER,County,1967,10,1
1388,9,Broome,Union (Town),2 MI E JCT SH 17 & SH 26,17  17 91071056,PATTERSON CREEK,NYSDOT,1969,10,1
9215,11,New York,,W 64 ST OVER AMTRAK,W 64TH STREET,AMTRAK RR,City,2007,10,1
8360,4,Monroe,Rochester (City),"JCT I590 NB & I490, I590",RAMP NEW,590I590I43012004,NYSDOT,1990,10,1
5046,5,Erie,Colden (Town),8.2 MI N JCT RTS 240 + 39,240 240 53011082,HAYES HOLLOW,NYSDOT,2008,10,1
2234,5,Chautauqua,Chautauqua (Town),1.5 MILES W OF SUMMERDALE,PUTNAM ROAD,CHAUTAUQUA CREEK,County,2018,10,1
9325,5,Niagara,Niagara Falls (City),0.5 MI W JCT RTS 182+I190,182 X,CSXT,City,1962,10,1
9683,2,Oneida,Paris (Town),4.8MI N INTERSEC RT8 & 20,8   8 26071056,SAUQUOIT CREEK,NYSDOT,1988,10,1
6802,7,Jefferson,Adams (Town),4.5 MI W OF ADAMS CENTER,OVERTON ROAD,STONY CREEK,County,1938,10,1
6804,7,Jefferson,Adams (Town),3.0 MI NW OF ADAMS CENTER,SOUTH HARBOR ROAD,STONY CREEK,County,1987,10,1
17451,4,Wyoming,Sheldon (Town),5 MI SE OF SHELDON,MAXON ROAD,TONAWANDA CREEK,County,1993,10,1
2259,5,Chautauqua,Clymer (Town),1.1 MI SE OF CLYMER,KNOWLTON ROAD,BROKENSTRAW CREEK,County,1994,10,1
17447,4,Wyoming,Sheldon (Town),2 MI W OF JOHNSONBURG,CENTERLINE ROAD,CAYUGA CREEK,County,1955,10,1
16173,1,Warren,Chester (Town),JCT RTE 9 & I87,87I 87I17101355,9   9 17102346,NYSDOT,2012,10,1
9216,11,New York,,W 66 ST OVER AMTRAK,W 66TH STREET,AMTRAK RR,City,2007,10,1
3041,9,Chenango,Greene (Town),5.3 MI SOUTH OF GREENE,PAGE BROOK ROAD,PAGE BROOK,County,1940,10,1
16172,1,Warren,Chester (Town),JCT RTE 9 & I87,87I 87I17101354,9   9 17102347,NYSDOT,2013,10,1
3059,9,Chenango,Lincklaen (Town),12.1 KM N JCT RTS 12 & 26,COUNTY ROAD 12,MUD CREEK,County,1998,10,1
13869,7,St Lawrence,Oswegatchie (Town),JCT RTES 37 & 812 (970E),37  37 75021283,970E970E75011001,NYSDOT,1958,10,1
15457,9,Tioga,Owego (Town),JCT SH 17 & APALACHIN CRE,17  17 65063251,APALACHIN CREEK,NYSDOT,1966,10,1
942,11,Bronx,New York (City),IN BAYCHESTER,EASTCHESTER  ROAD,NYCTA-DYRE AVE LN,Transit Authority,1906,10,1
14625,10,Suffolk,Babylon (Town),JCT SH 110 & SSP,110 110 07011025,908M908M07021002,NYSDOT,1957,10,1
9340,5,Niagara,Niagara Falls (City),1.5 MI E JCT RTS 384&190I,384 X,CAYUGA CREEK,City,1977,10,1
15458,9,Tioga,Owego (Town),JCT SH 17 & APALACHIN CRE,17  17 65063251,APALACHIN CREEK,NYSDOT,1966,10,1
14626,10,Suffolk,Babylon (Town),JCT SH 110 & SSP,110 110 07011026,SOUTHERN STATE PARKWAY,NYSDOT,1939,10,1
13868,7,St Lawrence,Oswegatchie (Town),JCT SH37 & OSWEGATCHIE RV,37  37 75021279,OSWEGATCHIE RIVER,NYSDOT,1958,10,1
895,11,Bronx,New York (City),3.6 MI NW I295+I95,CONNER ST,95IX,NYS Thruway Authority,1956,10,1
2258,5,Chautauqua,Clymer (Town),0.6 MI SE OF CLYMER,KNOWLTON RD,RESERVOIR OUTFLOW,County,1958,10,1
16970,8,Westchester,New Rochelle (City),1.0 MI N JCT RTS HRP+CCP,MILL ROAD-CO RD82,907W907W87022010,NYSDOT,1927,10,1
10084,3,Onondaga,De Witt (Town),0.7 MI N JCT RTS 481I+ 5,KINNE ROAD,481I481I33012053,NYSDOT,1971,10,1
6184,4,Genesee,Le Roy (Village),.3MI S OF INT RTES 19 & 5,19  19 41031082,OATKA CREEK,NYSDOT,1990,10,1
16941,8,Westchester,New Castle (Town),JCT. RTE. 120 & SMRP,120 120 87012137,987D 987D87012152,NYSDOT,1930,10,1
16079,8,Ulster,Ulster (Town),3.5 MILES N OF KINGSTON,COUNTY ROAD 31,SAW KILL,County,2016,10,1
572,6,Allegany,Friendship (Town),3.5 MI N OF FRIENDSHIP,COUNTY ROAD 17,WHITE CREEK,County,1958,10,1
