,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
8318,4,Monroe,Rochester (City),.1MI NW INTER.IN.LP & 33,940T940T43611B01,940T940T43011014,NYSDOT,1988,11,1
10105,3,Onondaga,Elbridge (Town),1.8MI N RTE I90@CAYUGA CL,COUNTY ROAD 61,ERIE CANAL,NYSDOT,1951,11,1
17031,8,Westchester,Peekskill (City),6.7 MI N JCT RTS 9+129,9   9 87033011,HUDSON AVENUE,NYSDOT,2010,11,1
8434,4,Monroe,Wheatland (Town),JCT RTS36+NYS THRUWAY I90,NY 36 RIGA MUMFORD RD,90IX,NYS Thruway Authority,1954,11,1
9833,2,Oneida,Utica (City),0.12 MI W INT 31 ON I-90,LELAND AVE,90IX,NYS Thruway Authority,1953,11,1
10835,8,Orange,Montgomery (Town),1.7 MI NW OF ALLARD CORN.,FLEURY ROAD,DWAAR KILL,County,1934,11,1
3940,9,Delaware,Colchester (Town),0.1 MI SE OF SH 30,RIVER ROAD,E BR DELAWARE RVR,County,1992,11,1
17478,6,Yates,Barrington (Town),RTE 54 0.6 MI NE OF CL,54  54 66021006,EGGLESTON CREEK,NYSDOT,2010,11,1
13184,1,Saratoga,Waterford (Village),JCT RTE 32 & ERIE CANAL,32  32 15021011,ERIE CANAL,NYSDOT,1907,11,1
1678,5,Cattaraugus,Farmersville (Town),3.1 MI NE JCT RTS 98&16,98   98 51011187,CARPENTER BROOK,NYSDOT,2003,11,1
15791,8,Ulster,Ellenville (Village),AT ELLENVILLE,CAPE AVENUE,BEER KILL,County,1940,11,1
9124,11,New York,New York (City),JCT I87+I95,RAMP TO GW BRIDGE,95I 95IX1M22000,NYSDOT,1961,11,1
5400,5,Erie,Orchard Park (Town),1.5 MI N OF ORCHARD PARK,MILE STRIP ROAD,SMOKES CREEK,County,2004,11,1
13189,1,Saratoga,Waterford (Village),FOURTH ST & ERIE C @ E2,FOURTH STREET,ERIE CANAL,NYSDOT,1907,11,1
14554,6,Steuben,Urbana (Town),1.2 MI SW of SR54A + SR54,54  54 64011055,KEUKA INLET,NYSDOT,1939,11,1
7755,2,Madison,Lenox (Town),AT CANASTOTA,BEE BEE BRIDGE RD,OLD ERIE CANAL,NYSDOT,1927,11,1
10259,3,Onondaga,Salina (Town),JCT I81 & I90,81I 81I33033012,90IX,NYSDOT,1986,11,1
4143,9,Delaware,Masonville (Town),.2 mi N CR 27,CLARK ROAD,W BR TROUT CREEK,County,2012,11,1
10471,4,Ontario,East Bloomfield (Town),0.4MI E JCT RTS 5+20 + 64,5   5 44051094,Mud Creek,NYSDOT,1933,11,1
9834,2,Oneida,Utica (City),0.11 MI W INT 31 ON I-90,LELAND AVE,EXIT 31 RAMP,NYS Thruway Authority,1953,11,1
12828,8,Rockland,Haverstraw (Town),1.1 MI N JCT PIP+RTE 202,987CX,MINISCEONGO CREEK,Palisades Interstate Park Commission,1947,11,1
9520,2,Oneida,Boonville (Town),4 MI NE OF BOONEVILLE,JOSLIN ROAD,MILE CREEK,Town,1983,11,1
12928,8,Rockland,Ramapo (Town),3.3 MI N JCT PIP+RTE 304,987C987C85011116,CR80-NEW HMSTD RD,Palisades Interstate Park Commission,1953,11,1
15820,8,Ulster,Hardenburgh (Town),1.8 MI NW OF TURNWOOD,BIG POND ROAD,BEAVER KILL,County,1960,11,1
15705,3,Tompkins,Lansing (Town),1.8 MI S JCT 34+CAYUGA CL,34  34 36043109,LOCKE CREEK,NYSDOT,1936,11,1
12827,8,Rockland,Haverstraw (Town),JCT RTE 202 + PIP(987C),987C987C85011142,202 202 85011090,Palisades Interstate Park Commission,2010,11,1
7990,4,Monroe,Gates (Town),JCT BARGE C + RTE I490 EB,490I490I43022000,ERIE CANAL,NYSDOT,1963,11,1
4098,9,Delaware,Hancock (Town),1 MI.N.READBURN,READBURN ROAD,READ CREEK,County,2006,11,1
3594,8,Columbia,Hillsdale (Town),0.2 MI NW OF N HILLSDALE,COUNTY ROAD 21,ROELIFF JANSEN KL,County,2016,11,1
5819,7,Franklin,Bombay (Town),1.9 MILES SOUTH OF BOMBAY,SCANLON ROAD,LITT SALMON RIVER,County,1976,11,1
15817,8,Ulster,Hardenburgh (Town),2.0 MI NE OF LEWBEACH,BARNHART RD,BEAVER KILL,Town,1895,11,1
9827,2,Oneida,Utica (City),INTERCHANGE 31 OF I-90,EXIT 31 RAMP,90IX,NYS Thruway Authority,1995,11,1
12550,1,Rensselaer,Schodack (Town),1.15MI E INTER.B1 ON 90I,WOODWARD ROAD,90IX EB,NYS Thruway Authority,1956,11,1
4094,9,Delaware,Hancock (Town),3 MI N SH 17 AT READBURN,READBURN RD,READ CREEK,County,2006,11,1
15462,9,Tioga,Owego (Town),3.1 MI N OF OWEGO,38  38 65011032,MCLEAN CREEK,NYSDOT,1940,11,1
7991,4,Monroe,Gates (Town),JCT BARGE C + RTE I490 WB,490I490I43022000,ERIE CANAL,NYSDOT,1963,11,1
10652,8,Orange,Chester (Town),0.6 MI N JCT RTS 17M & 94,ROUTE 17M,BLACK MEADOW CREEK,NYSDOT,1994,11,1
9917,2,Oneida,Western (Town),3.3 MI N JCT RTS 46 & 274,46  46 26023132,LANSING KILL,NYSDOT,1932,11,1
10677,8,Orange,Cornwall (Town),0.9 MI W OF CORNWALL,MAIN STREET,IDLEWILD CREEK,County,1929,11,1
3939,9,Delaware,Colchester (Town),3 MI SW OF DOWNSVILLE,RIVER ROAD,CAMPBELL BROOK,County,1983,11,1
9774,2,Oneida,Trenton (Town),1.1MI N JCT SH 12 & SH28,12  12 26043110,CINCINNATI CREEK,NYSDOT,2008,11,1
5866,7,Franklin,Fort Covington (Town),IN FORT COVINGTON,37  37 72031118,SALMON RIVER,NYSDOT,1998,11,1
7776,2,Madison,Oneida (City),0.1 MI N JCT RTS 46 & 316,46  46 26021000,ONEIDA CREEK,NYSDOT,1957,11,1
16105,8,Ulster,Wawarsing (Town),1.7 MI E OF GREENFIELD PK,BARBARA ROAD,WEST BRANCH BEER KILL,Town,1965,11,1
4806,5,Erie,Brant (Town),0.6 MI E JCT RTS 429 +323,249 249 53011045,DELAWARE CREEK,NYSDOT,2003,11,1
4586,8,Dutchess,Rhinebeck (Town),AT RHINECLIFF STATION,HUTTON STREET,CSX TRANS /AMTRAK,Town,2001,11,1
9140,11,New York,New York (City),RIVERSIDE DR BET 69&72 ST,RIVERSIDE DRIVE S,AMTRAK RR W CONN,City,2000,11,1
12538,1,Rensselaer,Schodack (Town),1.5 MI N SCHODACK LANDING,KNICKERBOCKER RD,CSX TRANS/C P RWY,Town,1924,11,1
