,Needs Repair
8318,N
10105,N
17031,N
8434,N
9833,N
10835,Y
3940,N
17478,N
13184,N
1678,N
15791,N
9124,Y
5400,N
13189,Y
14554,N
7755,N
10259,N
4143,N
10471,N
9834,N
12828,N
9520,N
12928,N
15820,Y
15705,N
12827,N
7990,N
4098,N
3594,N
5819,N
15817,N
9827,N
12550,N
4094,N
15462,N
7991,N
10652,N
9917,N
10677,Y
3939,N
9774,N
5866,N
7776,Y
16105,N
4806,N
4586,N
9140,N
12538,N
5056,N
12680,N
7628,N
15789,Y
9282,N
12141,N
12223,Y
11984,N
12204,N
6555,N
10010,N
15591,N
16081,N
10011,N
12745,N
3460,N
17158,N
9698,N
16773,N
14048,N
8313,N
10017,Y
16860,N
16108,N
12551,N
4982,N
8040,N
9456,N
3804,N
7888,N
16863,N
11894,N
5241,Y
11961,N
11956,N
11950,N
8252,N
766,N
12627,N
8869,N
16582,N
5169,N
589,N
8297,N
12448,N
16844,N
275,N
274,N
14053,N
14994,N
3000,N
3055,N
3780,Y
11623,N
2617,N
11625,N
5067,N
14431,N
13895,N
1471,N
14844,N
3047,N
13286,N
3007,N
6672,N
3015,N
3080,N
4521,N
5066,N
14317,N
14437,N
8231,N
3853,Y
17374,Y
5506,N
5489,Y
16650,N
10944,N
3215,N
10952,N
5485,N
4556,N
14552,N
2980,N
5490,Y
9708,N
3178,N
15349,N
5306,N
9546,N
1531,N
6796,N
4156,N
17437,N
15348,N
16544,N
5966,Y
398,N
2566,N
8293,N
8709,N
5948,N
13034,N
13377,Y
15963,N
6925,N
10382,N
8710,N
15030,N
622,N
9634,N
17400,N
12915,N
15345,N
8294,N
4113,N
11559,N
4947,N
12906,N
9694,N
14422,N
395,N
4492,N
2273,N
9912,N
2376,N
625,N
623,N
4818,N
3741,N
14878,N
5049,N
14866,N
10305,N
10236,Y
3760,N
3452,N
14278,N
5079,N
1775,N
4810,N
10493,N
8289,N
14418,N
14423,Y
9201,N
11204,N
1791,N
11029,N
11030,N
8290,N
10235,Y
3578,Y
3740,N
4314,N
4448,N
15212,Y
15275,N
17367,N
17362,N
15418,N
17366,N
2750,N
7187,N
15178,N
11869,N
15361,Y
5379,N
5401,N
48,N
5402,N
15347,N
17353,N
10413,N
8170,N
10412,N
2451,N
3051,N
3908,N
15911,N
10411,N
362,N
995,N
15346,N
364,N
15565,N
15677,N
9895,Y
9605,N
11393,N
10481,N
3959,N
8642,Y
11394,N
11787,N
14197,N
17426,N
2181,N
14566,N
12469,N
17453,N
16602,N
3947,N
12470,N
8507,N
10617,N
4174,N
4175,N
10587,N
3958,N
17449,N
2969,N
9328,N
8567,N
1524,N
8335,Y
9453,N
9327,N
389,N
17365,Y
3348,N
2416,N
16562,N
2618,Y
2385,N
2619,N
14165,N
3345,N
16563,N
2417,N
14168,N
4510,Y
16523,N
1261,N
222,N
13853,N
14617,N
3447,N
7070,N
3562,N
13681,N
1865,N
5022,N
1866,N
13677,Y
1836,N
2593,N
11075,N
11077,N
179,N
11142,N
15893,N
11141,N
11705,N
4903,N
4345,N
16524,N
11704,N
14162,N
14293,N
13731,N
14295,N
2543,N
15947,N
3527,Y
16835,N
3573,N
16655,Y
8056,N
6794,N
9696,N
1107,N
10281,N
11339,N
2039,Y
15369,N
15375,N
14077,N
6045,N
16535,N
17027,N
15531,N
198,N
201,Y
11181,N
9876,Y
5459,N
6622,N
1549,N
5264,N
3389,N
1395,N
14381,N
15460,N
14323,N
5662,N
6554,N
14088,N
3407,N
16174,N
793,Y
16186,N
15183,N
5661,N
1535,N
6116,N
6287,N
14380,N
6489,N
5660,Y
15663,N
6905,N
15478,N
10416,N
546,N
10417,N
545,N
1546,N
4256,N
7914,N
15500,N
544,N
5682,N
4260,N
10723,N
8728,N
8727,N
4259,N
640,N
1847,N
15372,N
560,N
9514,N
5265,N
2110,N
17032,N
17300,N
15941,Y
6156,N
12754,N
14439,N
13414,N
13417,N
558,N
557,N
10728,N
15532,N
14436,N
9925,N
10390,N
8540,Y
10769,Y
163,N
15692,N
8477,N
8145,N
15990,N
14579,N
