,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
4822,5,Erie,Buffalo (City),JCT OF RTS 5 & I-190,5   5 53023027,190IX,NYSDOT,1956,12,1
9832,2,Oneida,Utica (City),INT.N-S ART.& BARGE CANAL,FROM THRUWAY EB,ERIE BARGE CANAL,NYSDOT,1989,12,1
9954,2,Oneida,Whitesboro (Village),IN WHITESBORO,922A922A26011004,CSX TRANS/AMTRAK,NYSDOT,1968,12,1
11801,8,Putnam,Southeast (Town),2.4 MI W JCT RTS 312+22,312 312 84011022,MNRR BE LINE,Railroad,1977,12,1
13329,1,Schenectady,Schenectady (City),1.4 MI S JCT SH 5 & SH 50,890I EXIT4C OFFRP,BIG CIRCLE,NYSDOT,1966,12,1
1050,11,Bronx,New York (City),AT PARKCHESTER,WESTCHESTER AVE,AMTRAK/CSXT/P&W,City,1907,12,1
12451,1,Rensselaer,Rensselaer (City),.5 MI E JCT US 9 & US 20,151 151 14031002,EAST STREET,City,1929,12,2
5561,1,Essex,Crown Point (Town),SOUTH OF CROWN POINT,Route 185,DELAWARE & HDSN,NYSDOT,1982,12,2
13986,7,St Lawrence,Waddington (Village),0.3 MI NE JCT 37 + 345,37  37 75021476,BIG SUCKER BROOK,NYSDOT,1957,12,2
13974,7,St Lawrence,Waddington (Town),1.8 MI NE JCT SH37 &SH345,37  37 75021493,BRANDY BROOK,NYSDOT,1957,12,2
7981,4,Monroe,Gates (Town),1.6 MI NE JCT I490S&SH251,490I490I43021144,204 204 43011000,NYSDOT,1963,12,2
13978,7,St Lawrence,Waddington (Town),2.5 MI NE OF PINE GROVE,CAMPBELL ROAD,BIG SUCKER BROOK,County,1948,12,2
10521,4,Ontario,Manchester (Town),JCT RTS 21 + NYS THRUWAY,NYS Route 21,90IX,NYS Thruway Authority,2018,12,3
2781,6,Chemung,Chemung (Town),End I86 Exit 58 WB on Rmp,86I 17 62051203,Roberts Hollow Ck,NYSDOT,2012,12,3
576,6,Allegany,Friendship (Town),1.1 MI N OF CR 20,MAPLE GROVE ROAD,TRIB VANCAMPEN CK,Town,1984,12,3
5743,1,Essex,Schroon (Town),2 MI.N.OF PARADOX,OLD FURNACE ROAD,PARADOX CREEK,County,2018,12,3
17099,8,Westchester,Rye (City),2.1 MI NE MAMARONECK RYE,PLAYLAND PARKWAY,THEO FRMO AV-CR54,NYS Thruway Authority,1956,12,3
643,6,Allegany,Rushford (Town),3.1 MI SE OF RUSHFORD,BARBER HILL ROAD,RUSH CREEK,Town,1986,12,3
16958,8,Westchester,New Rochelle (City),NEW ENGLAND VIADUCT,95IX,WEBSTER AVENUE,NYS Thruway Authority,1954,12,3
