,Needs Repair
4822,N
9832,N
9954,N
11801,N
13329,N
1050,N
12451,N
5561,N
13986,N
13974,N
7981,N
13978,N
10521,N
2781,N
576,N
5743,N
17099,N
643,N
16958,N
4829,N
11449,N
573,N
6626,N
6625,N
17267,N
3894,N
3893,N
5944,N
5935,N
5463,N
6434,N
5462,N
5461,N
9669,N
6510,N
1523,N
2780,N
15847,N
8223,N
12229,N
16201,N
3724,N
15779,Y
5792,N
4063,N
6504,N
1871,N
11481,N
15771,N
2018,N
5975,N
2015,N
7358,N
13837,N
8355,N
6201,N
10823,Y
5855,N
5911,N
13842,N
16819,N
7576,N
4732,N
16922,N
12415,N
12804,N
17013,N
5395,N
7652,N
16624,N
3657,N
3585,N
17014,N
8356,N
5873,Y
5405,N
4537,N
5305,N
15364,N
9300,N
10914,Y
883,N
15468,Y
5874,N
4714,N
12305,N
13820,N
10824,Y
13844,N
3645,N
2103,N
10289,N
6104,Y
3521,N
742,Y
3626,N
4479,N
10339,Y
6031,N
11979,Y
4933,N
11117,N
17202,N
16935,Y
16500,N
11823,N
6679,N
15014,Y
5791,N
9620,N
11432,N
4975,N
944,N
13577,N
12554,N
11433,N
12976,N
4559,N
5793,N
15862,N
4906,N
6533,N
219,Y
13579,N
6490,N
5933,N
4562,N
10755,N
2450,N
8983,N
2541,N
16040,N
10537,N
13823,N
11819,N
3667,N
12304,N
13634,N
10737,N
13673,Y
5525,N
3848,N
34,N
14435,N
11078,N
1,N
11811,N
1889,N
6768,N
15696,N
8186,Y
11431,N
10441,N
13874,N
11959,Y
10364,N
280,N
1895,N
4939,N
8330,N
10312,N
4322,N
12492,N
13859,N
17075,N
969,N
16580,N
2122,Y
10565,N
14614,N
14607,N
15888,Y
10508,N
10957,N
17406,N
17035,N
864,N
6241,N
8322,N
16913,N
16799,N
11996,N
10830,Y
8978,N
8134,N
9017,N
3590,N
16801,N
16613,N
13078,N
150,N
13190,N
9818,N
8004,N
8354,Y
979,N
246,N
13208,N
77,N
13221,N
16576,N
13067,N
14562,N
16931,N
8364,N
10313,N
7908,Y
13614,N
4851,N
13959,N
13949,N
15762,N
16553,N
402,N
10656,N
10311,N
16583,Y
8154,Y
15467,N
13942,N
5258,N
13988,N
10288,N
10410,N
8280,N
13339,N
5385,N
7836,N
144,N
4917,N
15897,N
6927,N
3805,N
5144,N
9040,N
16645,N
4923,N
10389,N
16962,Y
4905,N
4339,N
4567,N
11799,N
73,N
74,N
75,N
31,N
11798,N
8323,Y
13855,N
12312,N
8350,N
8158,N
17228,Y
13815,N
3715,Y
7538,N
13812,N
7539,N
13856,N
3335,N
9244,N
6108,N
8320,N
16685,N
8372,N
8371,Y
8331,Y
9250,N
16920,Y
5916,N
9561,N
10658,N
9567,N
9969,N
16099,N
1098,N
4948,N
10279,N
1104,N
8519,N
1109,N
8281,N
3424,N
16697,N
16696,N
7596,N
16778,N
12353,N
13985,N
7605,N
13924,N
14225,N
17076,N
8305,N
7972,N
10401,N
13925,N
10958,N
17279,N
7884,N
17088,N
10308,N
1013,N
8312,N
16831,Y
4457,N
4458,N
13582,N
16051,N
16826,Y
2003,N
16664,N
7508,N
47,N
12494,N
983,N
4888,N
10345,N
10346,N
15936,Y
16289,Y
86,N
4440,N
16774,Y
9424,N
10094,N
10829,Y
4378,N
16482,N
613,Y
14651,N
10095,N
14650,N
4606,N
908,N
17025,Y
9676,N
8990,N
1446,N
116,N
776,Y
8159,N
17310,N
4467,N
7946,N
4513,N
71,N
10783,Y
109,N
15786,N
10705,N
15698,N
11791,N
17022,N
8287,N
11792,N
15985,N
13232,N
981,N
828,N
8985,N
16470,N
40,N
16926,Y
830,Y
100,N
6277,Y
138,Y
10858,Y
12316,N
11093,Y
16906,Y
16720,N
13226,N
6272,N
6271,N
16027,N
10898,N
17070,N
9174,Y
16915,N
8282,N
9534,Y
5823,N
6663,N
25,N
12871,N
11830,N
12529,N
5865,N
11769,N
5878,N
12872,N
8327,N
8295,N
3442,N
16143,N
3609,N
8734,N
5203,Y
17323,N
15190,N
22,N
15062,N
15370,N
7344,N
21,N
5684,N
5162,N
17214,Y
5364,N
5268,N
9026,N
13971,N
3546,N
12998,N
8746,N
7641,N
13956,Y
1516,N
10794,N
16924,Y
10683,N
16933,N
8226,N
12860,Y
1702,N
11775,N
4379,N
70,N
16937,N
12455,N
39,N
38,N
17126,N
12991,N
13799,N
4539,N
12989,N
3587,N
7795,N
10381,N
4640,N
16939,Y
17213,Y
10904,N
4637,N
50,N
51,N
5820,N
12530,N
218,N
92,N
13337,N
13254,N
13251,N
9074,N
12549,Y
12546,N
13351,N
16965,N
16969,N
16971,N
66,N
17433,N
17421,Y
11186,N
17381,Y
16753,N
6790,N
8986,N
8972,Y
13289,N
15101,N
14995,N
9167,Y
17340,N
13281,N
13338,N
9184,N
10774,N
13327,Y
16629,Y
13328,N
4938,N
