,Needs Repair
833,N
753,N
853,N
836,N
842,N
1020,N
852,N
1521,N
8817,N
7156,N
12658,N
12662,N
1281,N
933,N
762,N
759,N
8696,N
8697,N
17064,Y
12227,N
755,N
850,N
1008,N
8725,N
8724,N
2437,N
848,N
963,N
749,N
16150,N
937,N
1019,N
835,N
834,N
9027,N
11813,N
9029,N
4437,N
12059,N
12053,N
8995,N
815,N
869,N
12050,N
12051,N
7148,N
12075,N
9049,N
11851,N
8755,N
12611,N
13512,N
12601,N
7129,N
992,N
7128,N
7130,N
8770,N
8793,N
7158,N
9208,N
9207,N
9159,N
12657,N
12661,N
9065,N
8805,N
8804,N
8652,N
797,N
12739,N
8651,N
12074,N
14774,N
12076,N
9210,N
949,N
8998,N
9209,N
12221,N
11909,N
8658,N
9067,N
4195,N
1319,N
8859,N
840,N
9015,N
8797,N
8858,N
9014,N
854,N
12222,Y
8798,N
9135,N
9080,N
1016,N
965,N
8902,N
8903,N
12089,N
9033,N
974,N
9041,N
12067,N
9082,Y
9081,N
12060,N
8776,N
12636,N
8850,N
12643,N
9053,N
9036,N
897,N
1009,N
12677,N
9038,N
1015,N
8777,N
4427,N
907,N
9079,N
8660,N
4436,N
14769,N
11856,Y
12642,N
8855,N
12173,Y
12155,N
12645,N
9165,N
9154,N
8999,N
12115,N
14787,N
923,N
11861,Y
11859,N
5300,N
9028,N
14760,N
14759,N
9034,N
12192,N
12024,N
8851,N
8848,N
12663,N
966,N
12659,N
1028,N
12647,N
3483,N
12217,N
14776,N
14795,N
1005,N
14796,N
14777,N
1031,N
12236,N
14775,N
12006,N
11868,N
11992,N
11867,N
11849,N
8810,N
785,N
9030,N
902,N
1021,N
1045,N
9035,N
8909,N
8908,N
7176,N
1260,N
12164,Y
11850,N
9032,N
877,N
885,N
876,N
780,N
11948,N
12230,N
951,N
903,N
917,N
9089,N
8959,N
7267,N
7264,N
12190,N
9146,N
12212,N
984,N
1047,N
12228,N
7131,N
9088,N
12174,N
9066,Y
8800,N
8809,N
8802,N
8801,N
12644,N
9104,N
11820,N
12637,N
7266,N
14768,N
12275,Y
7244,N
8741,N
14136,N
14137,N
11978,N
11853,N
8656,N
957,N
9047,N
536,N
535,N
2961,N
8785,N
8786,N
12220,N
14770,N
769,N
9153,N
12276,N
9211,N
8907,N
972,N
14219,N
8781,N
8782,N
554,N
555,N
14906,N
7173,Y
14907,N
8750,N
14054,N
14055,N
914,N
11986,N
887,N
8871,N
7157,N
14935,N
825,N
8675,N
8816,N
11858,N
8676,N
8796,N
12295,N
879,N
880,N
14913,N
14914,N
12703,N
8912,N
7211,N
8913,N
14772,N
2776,N
574,N
2853,N
7222,N
12054,N
14780,N
9050,N
7294,N
904,N
9150,N
14936,N
9163,Y
1048,Y
8996,N
4439,Y
9045,N
9085,N
7293,N
12044,N
8960,N
8915,N
14864,N
8962,N
986,Y
14871,N
896,Y
14877,N
15898,N
14875,N
9024,N
14814,N
8911,N
8883,N
898,Y
12741,N
8865,N
14939,N
875,Y
14771,N
15407,N
15404,N
2989,N
2988,N
11655,N
1119,N
10639,N
2722,N
1497,N
2723,N
12835,N
9107,N
8952,N
12672,N
12673,N
8950,N
9077,N
8947,N
8937,N
17263,N
14929,N
17282,N
15515,N
14930,N
9204,N
8757,N
8949,N
8751,N
9143,N
14934,N
8951,N
8904,N
14933,N
807,N
2884,N
2883,N
8812,N
8723,N
712,N
711,N
9206,N
9205,N
881,N
9078,N
878,N
956,N
7149,Y
9076,N
14263,N
17054,N
8799,N
484,N
16867,N
14277,N
8752,N
8803,N
7134,N
7132,N
7135,N
9212,N
11983,N
12760,N
11765,N
9012,N
12214,N
11898,N
12666,N
4313,N
4381,N
1280,N
12107,N
11902,N
1279,N
14779,N
15535,N
15490,N
15548,N
14060,N
4142,N
3991,N
4095,N
1238,N
15368,N
12916,N
14061,N
15512,N
4090,N
12913,N
1250,N
3990,N
1241,N
7329,N
14715,N
2837,N
12172,N
2854,N
527,N
538,N
10805,N
12279,N
14633,N
3519,N
8754,N
12891,N
12825,N
4406,N
4074,N
8753,N
4080,N
7257,N
14752,N
8926,N
11010,N
7305,N
12732,N
14721,N
8906,N
11840,N
11907,N
14722,N
8942,N
993,N
8733,N
539,N
541,N
8686,N
8982,N
12251,N
2726,N
12134,N
14638,N
12025,N
8981,N
9169,N
14639,N
15004,N
2866,N
14989,N
14992,N
2865,N
7175,N
8685,N
7307,N
7308,N
7115,N
7303,N
4489,N
15311,N
15069,N
4368,N
4552,N
4446,N
15074,N
8939,N
15037,N
17090,Y
17184,N
15321,N
17072,N
15312,N
15327,N
12899,N
8766,N
15193,N
4023,N
15072,N
15853,N
16804,N
3977,N
15335,N
4293,Y
12756,N
10867,N
10665,N
16952,N
16786,N
9039,N
14965,N
14889,N
12135,N
12215,N
4108,N
14589,N
4107,N
17109,N
14144,N
14160,N
4443,N
4519,N
14482,N
14379,N
4499,N
4019,N
16771,N
4012,N
16787,N
12664,N
1061,N
12102,N
12712,N
11671,N
11546,N
4242,N
7155,N
11666,N
14080,N
17473,N
12888,N
8807,N
4199,Y
12894,N
15237,N
17361,N
3948,N
11536,N
14984,N
14524,N
3517,N
11725,N
1488,N
16135,N
14147,N
17476,N
14150,N
14560,N
15238,N
12908,N
10891,N
11565,N
5532,N
17073,N
4590,N
4332,N
4333,Y
15222,Y
8058,N
17185,N
16086,N
6080,N
14909,N
4222,N
4221,N
16817,Y
12815,N
15003,Y
16828,N
6191,N
4472,N
380,N
411,N
3588,N
12816,N
14991,Y
3557,Y
12973,N
1376,N
3005,N
3004,N
3190,N
17157,N
14090,N
15211,Y
17292,N
10714,N
4059,N
16634,N
4068,N
8003,N
4580,Y
6154,N
8242,N
1308,Y
15419,Y
8065,N
17096,N
8339,N
11862,N
790,Y
1413,N
8657,N
1384,N
8984,N
10918,N
9025,N
16043,N
8690,N
11766,N
6155,N
11503,N
11483,N
15205,N
11485,N
6150,N
3209,N
15422,N
11509,N
15195,N
15027,N
15561,N
15517,N
3208,N
16754,N
2728,N
4380,N
16816,N
16898,N
16964,N
16974,N
7877,N
17130,N
8052,N
16398,Y
6576,N
12800,N
12903,N
16654,N
8054,N
8391,N
8101,N
12608,N
12094,N
8918,N
9142,N
1441,N
1161,N
8788,N
8932,N
11821,Y
8946,N
15166,N
15167,N
11563,N
11562,N
126,N
11645,N
11644,N
11453,N
8861,N
8863,N
11952,N
8864,N
8787,N
8740,N
12043,N
7301,N
10733,N
1029,N
990,Y
17141,N
10729,Y
120,N
1259,N
121,N
11467,Y
12831,Y
9576,Y
11466,Y
11465,N
4638,N
9859,N
11008,N
12766,N
11037,Y
1425,N
17144,N
283,N
282,N
12540,N
1424,N
172,N
612,N
593,N
14859,N
12600,N
14861,N
12610,N
14706,N
2972,N
1171,N
996,N
14884,N
2973,N
1172,N
13468,N
13438,N
17275,N
3170,N
14073,N
17298,N
3113,N
14101,N
3172,N
14102,N
17330,Y
13469,N
15299,N
13500,N
17335,N
16551,N
10959,N
16839,N
13499,Y
1140,N
1139,N
10817,N
16558,N
4366,Y
10994,N
15085,N
4608,Y
4551,N
17210,N
4297,Y
17257,Y
4602,N
17009,N
13373,N
4544,N
14062,N
14063,N
17120,N
17142,N
10612,N
10613,N
14072,N
10615,N
61,N
17256,Y
294,N
161,N
906,N
12738,N
11646,N
7164,N
912,N
14740,N
10598,N
14892,N
6252,N
4490,N
8430,N
1311,N
4362,N
2938,N
16180,N
16181,N
16179,N
2937,N
12020,N
13598,N
857,N
13361,N
1273,N
1274,N
14211,N
16652,N
17002,N
13608,N
4356,N
4463,N
7940,N
4461,N
6097,N
16647,N
3184,Y
11461,Y
6217,N
1063,N
4584,N
683,N
4316,N
10445,N
10446,N
2054,Y
16306,N
4636,Y
6235,N
16404,N
8068,N
8072,N
149,Y
1472,N
10567,N
10568,N
13352,N
4441,N
185,N
12364,N
4399,N
6138,N
6180,N
4701,N
14196,N
12323,Y
6178,Y
4695,N
390,N
17477,N
6352,N
1160,N
15354,N
1490,N
15869,N
60,N
1136,N
3537,N
15406,N
7920,N
17240,N
4528,N
8417,N
4327,N
10570,N
16842,Y
3510,Y
10597,N
9398,N
2738,Y
16813,Y
3536,N
6151,N
1135,N
11699,N
11698,N
8489,N
8490,N
13392,N
6263,N
10470,N
4398,N
4546,N
9399,Y
6330,N
12743,N
2737,N
17295,N
6359,N
2736,N
17092,Y
4596,Y
7297,N
11613,N
14599,N
4404,N
1162,N
13381,N
2992,N
1163,N
2991,N
8778,N
11612,N
7317,Y
8827,N
8919,N
17094,N
6257,Y
4516,Y
6253,N
4391,N
10744,N
10743,N
16851,N
10934,Y
9112,N
8449,N
16259,N
1056,N
7186,Y
13252,N
11668,N
417,N
10047,N
14894,N
14248,N
997,N
8119,N
3090,N
641,N
512,N
3081,N
12117,N
13601,N
412,N
16821,N
8051,N
14977,N
10956,N
1076,N
14808,N
14809,N
14831,N
14973,N
14971,N
15331,N
12724,N
11537,N
1155,N
1347,N
1077,N
3082,Y
16380,N
404,Y
396,N
740,N
778,N
737,N
351,N
10048,N
8856,N
14029,N
8717,N
6382,N
8653,N
8841,N
8774,N
10354,N
3781,N
12198,N
12197,N
7189,N
6326,N
7144,N
10120,N
352,N
420,N
14635,N
568,N
3833,N
14976,N
3782,N
12211,N
14975,N
17509,N
16194,N
14974,N
17232,N
1293,N
3427,N
13383,Y
12832,Y
17280,N
14064,N
3509,N
15926,N
15575,N
10535,N
8574,N
3523,N
16904,N
12921,Y
13385,N
8620,N
14986,N
12755,N
11770,Y
504,Y
6288,Y
17266,N
16672,N
15333,N
501,N
8187,N
3598,Y
3623,N
8363,N
7966,N
15573,N
16987,N
12854,N
16988,N
15297,N
16612,N
8491,N
15096,N
10484,N
15296,N
8107,N
14351,N
13539,N
829,Y
10717,N
14350,N
1504,N
9415,N
10693,N
14903,N
12156,N
7191,Y
12651,N
8830,N
6437,N
14959,N
12650,N
9810,N
16841,N
4558,N
15731,Y
16614,N
10460,N
16633,N
15168,N
14151,N
16810,N
14159,N
8560,N
8857,N
8837,N
17272,N
8789,N
15226,Y
4981,N
8143,N
8144,N
10583,N
14958,N
14981,N
12021,N
14348,N
13033,N
14349,N
14724,N
13090,N
14745,N
891,N
9396,Y
14725,N
12648,N
12649,N
931,Y
17194,N
12460,Y
1229,N
2589,N
12438,N
11468,N
6195,N
15112,N
4432,N
4703,N
4763,N
4764,N
4696,N
6458,N
4759,N
4697,N
5577,N
15995,N
17098,N
17093,N
11659,N
4592,N
1094,N
10461,N
17293,N
2220,N
2160,N
17260,N
5729,N
4561,N
5730,N
17249,N
1645,N
405,N
6142,N
16950,N
12488,N
10454,N
212,N
15837,Y
15152,N
1463,N
6294,N
5576,N
4455,N
377,N
2562,N
10455,N
4702,N
9719,N
13004,N
2939,N
9638,N
9720,N
13215,N
16054,N
599,N
1215,N
13112,N
8020,N
13115,N
4179,N
9976,N
2115,N
4100,N
5097,N
5044,N
14375,N
5045,N
6262,N
8689,N
5098,N
4690,N
1720,N
14366,Y
8184,N
691,N
1718,N
6102,N
1235,N
1725,Y
7299,N
6323,N
8059,N
4383,Y
1287,N
1286,N
15216,Y
8348,N
15305,N
4003,N
4768,N
16182,N
8060,N
4767,N
5464,N
1282,N
5303,N
7986,N
2732,Y
17276,N
10582,N
17271,N
10474,N
8493,N
10256,N
2749,N
8494,N
3840,N
8505,N
17201,N
12759,Y
10610,N
2734,N
6358,N
1780,N
4517,N
6215,N
15584,N
2344,N
2348,N
15571,N
4625,N
7820,N
6153,N
4449,N
3580,N
9798,N
15332,N
6424,N
9660,N
6314,N
7985,N
9661,N
16034,N
4578,N
3026,N
1351,N
15401,N
165,N
2224,N
17139,N
1352,N
10581,N
9797,N
213,N
16615,N
12692,N
10449,N
3520,N
4601,N
5025,N
3071,N
515,N
3072,N
617,N
1675,N
3076,N
3664,N
1676,N
651,N
5027,N
3075,N
901,N
3077,N
10248,N
3073,N
1256,N
4218,N
13536,N
4219,N
794,Y
422,N
7960,N
6714,N
1935,N
13533,N
11945,N
10839,Y
1349,N
1348,N
1934,N
1306,N
14069,N
10114,N
14890,N
12852,N
7961,N
12267,Y
1122,N
1672,N
2812,N
1664,N
12704,N
6415,N
1632,N
11708,N
1674,N
1721,Y
1430,N
13451,N
13450,N
11529,N
13446,N
13445,N
11643,Y
13429,N
1679,N
1673,N
6423,Y
13641,N
2819,N
2064,N
2821,N
6641,N
6094,N
5637,N
6113,N
10572,N
4615,N
11017,N
3428,N
6120,N
4294,N
6093,Y
7709,N
7704,N
8515,N
4272,N
10450,N
620,Y
5638,N
6160,N
10590,Y
3486,N
16957,N
4408,N
4407,N
10692,Y
10668,N
17079,N
10650,N
5651,N
5652,N
435,N
3501,N
10619,N
5471,N
180,N
7734,N
3625,N
5015,N
8530,N
3568,N
16142,Y
1217,N
16059,N
8050,N
16048,N
5736,N
5737,N
17333,N
5707,N
15996,Y
10019,Y
10119,Y
5708,N
10165,N
12689,N
11548,N
11549,N
7272,N
15446,Y
2948,N
1511,N
16053,N
1512,N
11588,N
9724,N
5018,N
13348,N
1515,N
14704,N
202,N
5828,N
11707,N
6332,N
3685,N
550,N
13439,N
1919,N
1920,Y
1669,N
9352,N
2830,N
11328,N
5830,Y
11329,N
3432,N
9351,N
12057,N
1499,N
16825,Y
9929,N
6455,N
3044,N
5334,N
428,N
3050,N
4211,Y
3758,N
10459,N
6115,N
16679,N
15568,N
16660,N
4310,N
10482,N
15745,N
15620,N
454,N
1712,N
6453,N
16626,N
9386,N
4025,N
16631,N
9766,N
17531,N
10039,N
1879,N
5514,N
7270,Y
12699,N
2128,N
13242,N
1911,N
8682,N
4514,N
17518,N
13273,N
13272,N
8497,N
4462,N
12511,N
17246,N
716,N
10404,N
12925,N
5939,Y
9582,N
12924,N
11871,N
8934,N
349,N
13235,N
14631,N
14632,N
5941,N
2957,N
13236,N
16714,N
368,N
372,N
8664,N
12690,N
9760,N
9813,N
12058,N
13247,N
12721,N
9389,N
8495,N
11469,N
8585,N
7687,N
9348,N
4476,Y
4384,N
10195,N
4320,N
4575,N
2149,Y
4328,N
10219,Y
7891,N
14985,N
8943,N
8106,N
4672,N
4621,N
9812,N
5473,N
11470,Y
9800,N
13253,N
11845,N
330,N
11050,N
12158,N
7306,Y
132,N
12729,N
12209,N
12653,N
12652,N
8114,N
12512,N
14587,Y
2561,Y
13279,N
8578,N
8583,N
8587,N
14110,N
2411,N
2555,N
2418,N
2422,N
9771,N
1716,N
12798,N
5960,N
8625,N
1723,N
13258,N
13280,N
1728,N
1717,N
1639,N
8576,N
7066,N
4119,N
13572,N
2293,N
4118,N
4249,N
7056,N
17283,Y
17254,N
4270,N
81,N
12949,N
2249,N
1914,N
7992,N
8000,N
2158,N
14402,Y
4276,N
9390,N
2873,N
8529,N
12833,N
2141,N
17229,N
1640,N
4248,N
11482,N
11627,Y
14751,N
11504,Y
11528,N
3702,N
10609,N
3721,Y
11490,N
3046,Y
11530,Y
11487,N
10315,N
10591,N
11609,N
10457,N
10608,N
919,N
5843,N
3048,N
4989,N
12085,N
8758,N
16052,N
2890,N
16824,N
16057,N
921,N
371,N
4122,N
4121,N
11878,N
11880,N
4120,N
920,N
5101,N
7183,N
5450,N
5930,Y
4341,N
1585,N
3083,N
7229,N
5411,N
11743,N
10202,N
6293,N
14025,N
14718,N
893,Y
14659,N
792,N
5412,N
9815,N
5942,N
6401,N
10212,N
9814,N
14313,N
11140,N
16991,N
16296,N
17000,Y
14113,N
11139,N
17255,N
14315,N
6607,N
80,N
5539,Y
1701,N
4330,N
1203,N
6117,N
7730,N
3662,N
2231,N
15523,N
10962,N
16648,Y
6788,N
16616,N
16609,N
6233,N
6770,N
11633,N
17020,N
6609,N
11690,N
6614,N
16358,N
6608,N
5538,Y
2132,N
16112,Y
17241,N
7637,N
1267,N
17101,N
11026,N
12,N
13,N
5642,N
5641,N
2955,N
1268,N
2384,N
15399,N
2944,N
2468,N
2381,N
17121,N
224,N
12694,N
13694,N
3875,N
1850,N
3884,N
1852,N
1105,N
11486,N
15933,Y
1503,N
3877,N
11571,Y
17059,Y
12710,N
409,N
15021,N
1974,N
16709,N
408,N
13039,N
5000,N
9019,Y
5955,N
3052,N
1663,N
11839,N
15356,N
6577,N
17513,N
4353,N
15632,N
13024,N
9839,N
15022,N
10847,N
2236,N
13524,N
16743,N
10844,N
2660,N
13041,N
17231,N
12641,N
11073,N
11310,N
1616,N
16854,N
8180,N
