,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
833,11,Bronx,New York (City),2.5MI N I95+BX RIVER PKWY,907H907HX1M11035,AT BURKE AVENUE,NYSDOT,1949,1,2
753,11,Bronx,New York (City),3.4 MI N I87+I95,87I 87IX1M11068,VAN CORTLAND AVE,NYSDOT,1954,1,2
853,11,Bronx,New York (City),3.9 MI N I87+I95,908F908FX1MR03B1,GOLFERS PATH,NYSDOT,1952,1,2
836,11,Bronx,New York (City),4.5 MI N I95 + BX RVR PKW,907H907HX1M11054,BRONX RIVER,NYSDOT,1951,1,2
842,11,Bronx,New York (City),4.1 MI N I95+BX RIVER PKY,907H907HX1MR09A1,BRONX RIVER,NYSDOT,1950,1,3
1020,11,Bronx,New York (City),3.2 MI N JCT I87 & I95,VAN CORTLAND PK S,EX-NYCRR PUTNAM B,NYSDOT,1952,1,3
852,11,Bronx,New York (City),.7 MI N I87+MOSHOLU PKWY,908F908FX1M12029,GOLFERS UNDERPASS,NYSDOT,1939,1,3
1521,9,Broome,,JCT I81 & SH 7,81I 81I 9101 2021,7 7 91012028,NYSDOT,2017,1,3
8817,10,Nassau,Lake Success (Village),NSP - .5 MI NE QNS CO LN,LAKEVILLE ROAD,908G908G03011005,NYSDOT,1968,1,3
7156,11,Kings,New York (City),.2 MI SE I278 + BKLYN BRG,278I278IX2MR1081,PROSPECT STREET,City,1956,1,3
12658,11,Richmond,New York (City),2.6 MI E JCT SH440 &WS EX,909C909CX6M11024,ALBEE AVENUE,NYSDOT,1968,1,3
12662,11,Richmond,New York (City),2.6 MI E JCT SH440 &WS EX,909C909CX6M12024,ALBEE AVENUE,NYSDOT,1968,1,3
1281,9,Broome,Kirkwood (Town),0.9 MI NW EXIT 2 RTE I-81,81I 81I91011087,CR52 COLESVILLE R,NYSDOT,1987,1,3
933,11,Bronx,New York (City),AT WOODLAWN,EAST 233RD STREET,907H907HX1MR09D1,City,1931,1,3
762,11,Bronx,New York (City),MACOMBS DAM PARK,87I 87IX1MR05C1,RELIEF,NYSDOT,1951,1,3
759,11,Bronx,New York (City),.1 MI S JCT I87 & I95,87I 87IX1MR0583,RELIEF,NYSDOT,1976,1,3
8696,10,Nassau,Hempstead (Town),3 MI W JCT RTS SSP&WSP,908E908E03011069,908M908M03011088,NYSDOT,1955,1,3
8697,10,Nassau,Hempstead (Town),3 MI W JCT RTS SSP+WSP,908E908E03011069,908M908M03011088,NYSDOT,1955,1,3
17064,8,Westchester,Port Chester (Village),IN PORT CHESTER,WILLIAM STREET,MNRR NH LINE,Railroad,1887,1,3
12227,11,Queens,New York (City),IN FOREST PARK,MYRTLE AVENUE,LIRR ABANDONED LN,City,1936,1,8
755,11,Bronx,New York (City),4.9 MI N I87+I95,87I 87IX1M11083,NURSERY RD- ABAND,NYSDOT,1956,1,8
850,11,Bronx,New York (City),JCT MOSHOLU PKY+BRONX RIV,908F908FX1M12002,BRONX RIVER,City,1905,1,8
1008,11,Bronx,New York (City),IN BRONX PARK,SNUFF MILL RD.,BRONX RIVER,City,1920,1,8
8725,10,Nassau,Hempstead (Town),AT FREEPORT-S OF SSP,BABYLON TURNPIKE,908E908E03011051,NYSDOT,1963,1,8
8724,10,Nassau,Hempstead (Town),AT FREEPORT-S OF SSP,BABYLON TURNPIKE,908E908E03011051,NYSDOT,1935,1,8
2437,5,Chautauqua,Harmony (Town),2.4 MI NE OF NIOBE,MADDEN ROAD,BR LIT BROKENSTRW,County,2018,1,8
848,11,Bronx,New York (City),.7 MI N I87+MOSHOLU PKWY,908F908FX1M11029,EQUESTRIAN PATH,City,1951,1,9
963,11,Bronx,New York (City),IN NORTH BRONX,GUN HILL ROAD,BRONX RIVER,City,1918,1,9
