,Amount (1000 metric tons)
27,638
59,195
91,92
123,37
155,17
187,352
219,1
251,76
283,0
315,0
347,0
379,0
411,0
443,0
475,0
507,0
539,0
571,0
603,0
635,0
667,0
699,0
731,0
763,0
795,0
827,0
859,40
891,0
923,0
955,0
987,1
1019,102
1052,17
1085,0
1118,0
1151,0
1184,0
1217,0
1250,0
1283,0
1316,0
1349,1507
1382,48
1415,0
1448,0
1481,0
1514,0
1547,0
1580,0
1613,0
1646,0
1679,0
1712,0
1745,0
1778,0
1811,0
1844,0
1877,0
1910,0
1943,0
1976,0
2009,0
2042,0
2075,0
2108,44
2140,0
2172,0
2204,0
2236,0
2268,0
2300,0
2332,0
2364,0
2396,0
2428,0
2460,0
2492,0
2524,0
2556,0
2588,0
2620,0
2652,44
2684,0
2716,0
2748,0
2780,0
2812,0
2844,0
2876,0
2908,0
2940,0
2972,0
3004,0
3036,0
3068,0
3100,0
3132,0
3164,0
3196,807
3228,13932
3260,13602
3292,4752
3324,5601
3356,704
3388,506
3420,2989
3452,2163
3484,871
3516,84
3548,323
3580,807
3612,200
3644,275
3676,543
3708,91
3740,351
3772,20
3804,189
3836,39
3868,20
3900,49
3932,33
3964,327
3996,843
4028,8
4060,8
4092,33
4124,18
4156,1
4188,0
4220,605
4252,0
4284,1
4316,1
4348,303
4380,0
4412,1
4444,0
4476,0
4508,0
4540,0
4572,0
4604,0
4636,0
4668,63
4701,0
4734,0
4767,0
4800,0
4833,0
4866,0
4899,0
4932,0
4965,0
4998,0
5031,0
5064,0
5097,0
5130,0
5163,0
5196,0
5229,0
5262,0
5295,0
5328,0
5361,8
5394,0
5427,0
5460,0
5493,0
5526,0
5559,0
5592,0
5625,0
5658,0
5691,4740
5723,467
5755,585
5787,223
5819,7
5851,2
5883,2
5915,1
5947,1
5979,0
6011,0
6043,0
6075,0
6107,0
6139,1
6171,0
6203,0
6235,0
6267,0
6299,0
6331,0
6363,0
6395,0
6427,0
6459,0
6491,0
6523,0
6555,7
6587,0
6619,0
6651,0
6683,0
6715,0
6747,0
6779,0
6811,0
6843,0
6875,0
6907,0
6939,0
6971,0
7003,0
7035,4740
7067,467
7099,585
7131,223
7163,7
7195,2
7227,2
7259,1
7291,1
7323,0
7355,0
7387,0
7419,0
7451,0
7483,1
7515,0
7547,0
7579,0
7611,0
7643,0
7675,0
7707,0
7739,0
7771,0
7803,0
7835,0
7867,0
7899,7
7931,0
7963,0
7995,0
8027,0
8059,0
8091,0
8123,0
8155,0
8187,0
8219,0
8251,0
8283,0
8315,0
8347,0
