,Country,Year,Grain,Direction
0,Canada,1990,corn,import
1,Canada,1991,corn,import
2,Canada,1992,corn,import
3,Canada,1993,corn,import
4,Canada,1994,corn,import
5,Canada,1995,corn,import
6,Canada,1996,corn,import
7,Canada,1997,corn,import
8,Canada,1998,corn,import
9,Canada,1999,corn,import
10,Canada,1900,corn,import
11,Canada,2001,corn,import
12,Canada,2002,corn,import
13,Canada,2003,corn,import
14,Canada,2004,corn,import
15,Canada,2005,corn,import
16,Canada,2006,corn,import
17,Canada,2007,corn,import
18,Canada,2008,corn,import
19,Canada,2009,corn,import
20,Canada,2010,corn,import
21,Canada,2011,corn,import
22,Canada,2012,corn,import
23,Canada,2013,corn,import
24,Canada,2014,corn,import
25,Canada,2015,corn,import
32,Argentina,1990,corn,import
33,Argentina,1991,corn,import
34,Argentina,1992,corn,import
35,Argentina,1993,corn,import
36,Argentina,1994,corn,import
37,Argentina,1995,corn,import
38,Argentina,1996,corn,import
39,Argentina,1997,corn,import
40,Argentina,1998,corn,import
41,Argentina,1999,corn,import
42,Argentina,1900,corn,import
43,Argentina,2001,corn,import
44,Argentina,2002,corn,import
45,Argentina,2003,corn,import
46,Argentina,2004,corn,import
47,Argentina,2005,corn,import
48,Argentina,2006,corn,import
49,Argentina,2007,corn,import
50,Argentina,2008,corn,import
51,Argentina,2009,corn,import
52,Argentina,2010,corn,import
53,Argentina,2011,corn,import
54,Argentina,2012,corn,import
55,Argentina,2013,corn,import
56,Argentina,2014,corn,import
57,Argentina,2015,corn,import
64,Brazil,1990,corn,import
65,Brazil,1991,corn,import
66,Brazil,1992,corn,import
67,Brazil,1993,corn,import
68,Brazil,1994,corn,import
69,Brazil,1995,corn,import
70,Brazil,1996,corn,import
71,Brazil,1997,corn,import
72,Brazil,1998,corn,import
73,Brazil,1999,corn,import
74,Brazil,1900,corn,import
75,Brazil,2001,corn,import
76,Brazil,2002,corn,import
77,Brazil,2003,corn,import
78,Brazil,2004,corn,import
79,Brazil,2005,corn,import
80,Brazil,2006,corn,import
81,Brazil,2007,corn,import
82,Brazil,2008,corn,import
83,Brazil,2009,corn,import
84,Brazil,2010,corn,import
85,Brazil,2011,corn,import
86,Brazil,2012,corn,import
87,Brazil,2013,corn,import
88,Brazil,2014,corn,import
89,Brazil,2015,corn,import
96,Mexico,1990,corn,import
97,Mexico,1991,corn,import
98,Mexico,1992,corn,import
99,Mexico,1993,corn,import
100,Mexico,1994,corn,import
101,Mexico,1995,corn,import
102,Mexico,1996,corn,import
103,Mexico,1997,corn,import
104,Mexico,1998,corn,import
105,Mexico,1999,corn,import
106,Mexico,1900,corn,import
107,Mexico,2001,corn,import
108,Mexico,2002,corn,import
109,Mexico,2003,corn,import
110,Mexico,2004,corn,import
111,Mexico,2005,corn,import
112,Mexico,2006,corn,import
113,Mexico,2007,corn,import
114,Mexico,2008,corn,import
115,Mexico,2009,corn,import
116,Mexico,2010,corn,import
117,Mexico,2011,corn,import
118,Mexico,2012,corn,import
119,Mexico,2013,corn,import
120,Mexico,2014,corn,import
121,Mexico,2015,corn,import
128,Chile,1990,corn,import
129,Chile,1991,corn,import
130,Chile,1992,corn,import
131,Chile,1993,corn,import
132,Chile,1994,corn,import
133,Chile,1995,corn,import
134,Chile,1996,corn,import
135,Chile,1997,corn,import
136,Chile,1998,corn,import
137,Chile,1999,corn,import
138,Chile,1900,corn,import
139,Chile,2001,corn,import
140,Chile,2002,corn,import
141,Chile,2003,corn,import
142,Chile,2004,corn,import
143,Chile,2005,corn,import
144,Chile,2006,corn,import
145,Chile,2007,corn,import
146,Chile,2008,corn,import
147,Chile,2009,corn,import
148,Chile,2010,corn,import
149,Chile,2011,corn,import
150,Chile,2012,corn,import
151,Chile,2013,corn,import
152,Chile,2014,corn,import
153,Chile,2015,corn,import
160,Turkey,1990,corn,import
161,Turkey,1991,corn,import
162,Turkey,1992,corn,import
163,Turkey,1993,corn,import
164,Turkey,1994,corn,import
165,Turkey,1995,corn,import
166,Turkey,1996,corn,import
167,Turkey,1997,corn,import
168,Turkey,1998,corn,import
169,Turkey,1999,corn,import
170,Turkey,1900,corn,import
171,Turkey,2001,corn,import
172,Turkey,2002,corn,import
173,Turkey,2003,corn,import
174,Turkey,2004,corn,import
175,Turkey,2005,corn,import
176,Turkey,2006,corn,import
177,Turkey,2007,corn,import
178,Turkey,2008,corn,import
179,Turkey,2009,corn,import
180,Turkey,2010,corn,import
181,Turkey,2011,corn,import
182,Turkey,2012,corn,import
183,Turkey,2013,corn,import
184,Turkey,2014,corn,import
185,Turkey,2015,corn,import
192,Peru,1990,corn,import
193,Peru,1991,corn,import
194,Peru,1992,corn,import
195,Peru,1993,corn,import
196,Peru,1994,corn,import
197,Peru,1995,corn,import
198,Peru,1996,corn,import
199,Peru,1997,corn,import
200,Peru,1998,corn,import
201,Peru,1999,corn,import
202,Peru,1900,corn,import
203,Peru,2001,corn,import
204,Peru,2002,corn,import
205,Peru,2003,corn,import
206,Peru,2004,corn,import
207,Peru,2005,corn,import
208,Peru,2006,corn,import
209,Peru,2007,corn,import
210,Peru,2008,corn,import
211,Peru,2009,corn,import
212,Peru,2010,corn,import
213,Peru,2011,corn,import
214,Peru,2012,corn,import
215,Peru,2013,corn,import
216,Peru,2014,corn,import
217,Peru,2015,corn,import
224,European Union,1990,corn,import
225,European Union,1991,corn,import
226,European Union,1992,corn,import
227,European Union,1993,corn,import
228,European Union,1994,corn,import
229,European Union,1995,corn,import
230,European Union,1996,corn,import
231,European Union,1997,corn,import
232,European Union,1998,corn,import
233,European Union,1999,corn,import
234,European Union,1900,corn,import
235,European Union,2001,corn,import
236,European Union,2002,corn,import
237,European Union,2003,corn,import
238,European Union,2004,corn,import
239,European Union,2005,corn,import
240,European Union,2006,corn,import
241,European Union,2007,corn,import
242,European Union,2008,corn,import
243,European Union,2009,corn,import
244,European Union,2010,corn,import
245,European Union,2011,corn,import
246,European Union,2012,corn,import
247,European Union,2013,corn,import
248,European Union,2014,corn,import
249,European Union,2015,corn,import
256,China,1990,corn,import
257,China,1991,corn,import
258,China,1992,corn,import
259,China,1993,corn,import
260,China,1994,corn,import
261,China,1995,corn,import
262,China,1996,corn,import
263,China,1997,corn,import
264,China,1998,corn,import
265,China,1999,corn,import
266,China,1900,corn,import
267,China,2001,corn,import
268,China,2002,corn,import
269,China,2003,corn,import
270,China,2004,corn,import
271,China,2005,corn,import
272,China,2006,corn,import
273,China,2007,corn,import
274,China,2008,corn,import
275,China,2009,corn,import
276,China,2010,corn,import
277,China,2011,corn,import
278,China,2012,corn,import
279,China,2013,corn,import
280,China,2014,corn,import
281,China,2015,corn,import
288,Colombia,1990,corn,import
289,Colombia,1991,corn,import
290,Colombia,1992,corn,import
291,Colombia,1993,corn,import
292,Colombia,1994,corn,import
293,Colombia,1995,corn,import
294,Colombia,1996,corn,import
295,Colombia,1997,corn,import
296,Colombia,1998,corn,import
297,Colombia,1999,corn,import
298,Colombia,1900,corn,import
299,Colombia,2001,corn,import
300,Colombia,2002,corn,import
301,Colombia,2003,corn,import
302,Colombia,2004,corn,import
303,Colombia,2005,corn,import
304,Colombia,2006,corn,import
305,Colombia,2007,corn,import
306,Colombia,2008,corn,import
307,Colombia,2009,corn,import
308,Colombia,2010,corn,import
309,Colombia,2011,corn,import
310,Colombia,2012,corn,import
311,Colombia,2013,corn,import
312,Colombia,2014,corn,import
313,Colombia,2015,corn,import
320,Sub-Saharan Africa,1990,corn,import
321,Sub-Saharan Africa,1991,corn,import
322,Sub-Saharan Africa,1992,corn,import
323,Sub-Saharan Africa,1993,corn,import
324,Sub-Saharan Africa,1994,corn,import
325,Sub-Saharan Africa,1995,corn,import
326,Sub-Saharan Africa,1996,corn,import
327,Sub-Saharan Africa,1997,corn,import
328,Sub-Saharan Africa,1998,corn,import
329,Sub-Saharan Africa,1999,corn,import
330,Sub-Saharan Africa,1900,corn,import
331,Sub-Saharan Africa,2001,corn,import
332,Sub-Saharan Africa,2002,corn,import
333,Sub-Saharan Africa,2003,corn,import
334,Sub-Saharan Africa,2004,corn,import
335,Sub-Saharan Africa,2005,corn,import
336,Sub-Saharan Africa,2006,corn,import
337,Sub-Saharan Africa,2007,corn,import
338,Sub-Saharan Africa,2008,corn,import
339,Sub-Saharan Africa,2009,corn,import
340,Sub-Saharan Africa,2010,corn,import
341,Sub-Saharan Africa,2011,corn,import
342,Sub-Saharan Africa,2012,corn,import
343,Sub-Saharan Africa,2013,corn,import
344,Sub-Saharan Africa,2014,corn,import
345,Sub-Saharan Africa,2015,corn,import
352,Vietnam,1990,corn,import
353,Vietnam,1991,corn,import
354,Vietnam,1992,corn,import
355,Vietnam,1993,corn,import
356,Vietnam,1994,corn,import
357,Vietnam,1995,corn,import
358,Vietnam,1996,corn,import
359,Vietnam,1997,corn,import
360,Vietnam,1998,corn,import
361,Vietnam,1999,corn,import
362,Vietnam,1900,corn,import
363,Vietnam,2001,corn,import
364,Vietnam,2002,corn,import
365,Vietnam,2003,corn,import
366,Vietnam,2004,corn,import
367,Vietnam,2005,corn,import
368,Vietnam,2006,corn,import
369,Vietnam,2007,corn,import
370,Vietnam,2008,corn,import
371,Vietnam,2009,corn,import
372,Vietnam,2010,corn,import
373,Vietnam,2011,corn,import
374,Vietnam,2012,corn,import
375,Vietnam,2013,corn,import
376,Vietnam,2014,corn,import
377,Vietnam,2015,corn,import
384,Bolivia,1990,corn,import
385,Bolivia,1991,corn,import
386,Bolivia,1992,corn,import
387,Bolivia,1993,corn,import
388,Bolivia,1994,corn,import
389,Bolivia,1995,corn,import
390,Bolivia,1996,corn,import
391,Bolivia,1997,corn,import
392,Bolivia,1998,corn,import
393,Bolivia,1999,corn,import
394,Bolivia,1900,corn,import
395,Bolivia,2001,corn,import
396,Bolivia,2002,corn,import
397,Bolivia,2003,corn,import
398,Bolivia,2004,corn,import
399,Bolivia,2005,corn,import
400,Bolivia,2006,corn,import
401,Bolivia,2007,corn,import
402,Bolivia,2008,corn,import
403,Bolivia,2009,corn,import
404,Bolivia,2010,corn,import
405,Bolivia,2011,corn,import
406,Bolivia,2012,corn,import
407,Bolivia,2013,corn,import
408,Bolivia,2014,corn,import
409,Bolivia,2015,corn,import
416,Ecuador,1990,corn,import
417,Ecuador,1991,corn,import
418,Ecuador,1992,corn,import
419,Ecuador,1993,corn,import
420,Ecuador,1994,corn,import
421,Ecuador,1995,corn,import
422,Ecuador,1996,corn,import
423,Ecuador,1997,corn,import
424,Ecuador,1998,corn,import
425,Ecuador,1999,corn,import
426,Ecuador,1900,corn,import
427,Ecuador,2001,corn,import
428,Ecuador,2002,corn,import
429,Ecuador,2003,corn,import
430,Ecuador,2004,corn,import
431,Ecuador,2005,corn,import
432,Ecuador,2006,corn,import
433,Ecuador,2007,corn,import
434,Ecuador,2008,corn,import
435,Ecuador,2009,corn,import
436,Ecuador,2010,corn,import
437,Ecuador,2011,corn,import
438,Ecuador,2012,corn,import
439,Ecuador,2013,corn,import
440,Ecuador,2014,corn,import
441,Ecuador,2015,corn,import
448,Pakistan,1990,corn,import
449,Pakistan,1991,corn,import
450,Pakistan,1992,corn,import
451,Pakistan,1993,corn,import
452,Pakistan,1994,corn,import
453,Pakistan,1995,corn,import
454,Pakistan,1996,corn,import
455,Pakistan,1997,corn,import
456,Pakistan,1998,corn,import
457,Pakistan,1999,corn,import
458,Pakistan,1900,corn,import
459,Pakistan,2001,corn,import
460,Pakistan,2002,corn,import
461,Pakistan,2003,corn,import
462,Pakistan,2004,corn,import
463,Pakistan,2005,corn,import
464,Pakistan,2006,corn,import
465,Pakistan,2007,corn,import
466,Pakistan,2008,corn,import
467,Pakistan,2009,corn,import
468,Pakistan,2010,corn,import
469,Pakistan,2011,corn,import
470,Pakistan,2012,corn,import
471,Pakistan,2013,corn,import
472,Pakistan,2014,corn,import
473,Pakistan,2015,corn,import
480,Uruguay,1990,corn,import
481,Uruguay,1991,corn,import
482,Uruguay,1992,corn,import
483,Uruguay,1993,corn,import
484,Uruguay,1994,corn,import
485,Uruguay,1995,corn,import
486,Uruguay,1996,corn,import
487,Uruguay,1997,corn,import
488,Uruguay,1998,corn,import
489,Uruguay,1999,corn,import
490,Uruguay,1900,corn,import
491,Uruguay,2001,corn,import
492,Uruguay,2002,corn,import
493,Uruguay,2003,corn,import
494,Uruguay,2004,corn,import
495,Uruguay,2005,corn,import
496,Uruguay,2006,corn,import
497,Uruguay,2007,corn,import
498,Uruguay,2008,corn,import
499,Uruguay,2009,corn,import
500,Uruguay,2010,corn,import
501,Uruguay,2011,corn,import
502,Uruguay,2012,corn,import
503,Uruguay,2013,corn,import
504,Uruguay,2014,corn,import
505,Uruguay,2015,corn,import
512,Australia,1990,corn,import
513,Australia,1991,corn,import
514,Australia,1992,corn,import
515,Australia,1993,corn,import
516,Australia,1994,corn,import
517,Australia,1995,corn,import
518,Australia,1996,corn,import
519,Australia,1997,corn,import
520,Australia,1998,corn,import
521,Australia,1999,corn,import
522,Australia,1900,corn,import
523,Australia,2001,corn,import
524,Australia,2002,corn,import
525,Australia,2003,corn,import
526,Australia,2004,corn,import
527,Australia,2005,corn,import
528,Australia,2006,corn,import
529,Australia,2007,corn,import
530,Australia,2008,corn,import
531,Australia,2009,corn,import
532,Australia,2010,corn,import
533,Australia,2011,corn,import
534,Australia,2012,corn,import
535,Australia,2013,corn,import
536,Australia,2014,corn,import
537,Australia,2015,corn,import
544,Dominican Republic,1990,corn,import
545,Dominican Republic,1991,corn,import
546,Dominican Republic,1992,corn,import
547,Dominican Republic,1993,corn,import
548,Dominican Republic,1994,corn,import
549,Dominican Republic,1995,corn,import
550,Dominican Republic,1996,corn,import
551,Dominican Republic,1997,corn,import
552,Dominican Republic,1998,corn,import
553,Dominican Republic,1999,corn,import
554,Dominican Republic,1900,corn,import
555,Dominican Republic,2001,corn,import
556,Dominican Republic,2002,corn,import
557,Dominican Republic,2003,corn,import
558,Dominican Republic,2004,corn,import
559,Dominican Republic,2005,corn,import
560,Dominican Republic,2006,corn,import
561,Dominican Republic,2007,corn,import
562,Dominican Republic,2008,corn,import
563,Dominican Republic,2009,corn,import
564,Dominican Republic,2010,corn,import
565,Dominican Republic,2011,corn,import
566,Dominican Republic,2012,corn,import
567,Dominican Republic,2013,corn,import
568,Dominican Republic,2014,corn,import
569,Dominican Republic,2015,corn,import
576,Egypt,1990,corn,import
577,Egypt,1991,corn,import
578,Egypt,1992,corn,import
579,Egypt,1993,corn,import
580,Egypt,1994,corn,import
581,Egypt,1995,corn,import
582,Egypt,1996,corn,import
583,Egypt,1997,corn,import
584,Egypt,1998,corn,import
585,Egypt,1999,corn,import
586,Egypt,1900,corn,import
587,Egypt,2001,corn,import
588,Egypt,2002,corn,import
589,Egypt,2003,corn,import
590,Egypt,2004,corn,import
591,Egypt,2005,corn,import
592,Egypt,2006,corn,import
593,Egypt,2007,corn,import
594,Egypt,2008,corn,import
595,Egypt,2009,corn,import
596,Egypt,2010,corn,import
597,Egypt,2011,corn,import
598,Egypt,2012,corn,import
599,Egypt,2013,corn,import
600,Egypt,2014,corn,import
601,Egypt,2015,corn,import
608,Haiti,1990,corn,import
609,Haiti,1991,corn,import
610,Haiti,1992,corn,import
611,Haiti,1993,corn,import
612,Haiti,1994,corn,import
613,Haiti,1995,corn,import
614,Haiti,1996,corn,import
615,Haiti,1997,corn,import
616,Haiti,1998,corn,import
617,Haiti,1999,corn,import
618,Haiti,1900,corn,import
619,Haiti,2001,corn,import
620,Haiti,2002,corn,import
621,Haiti,2003,corn,import
622,Haiti,2004,corn,import
623,Haiti,2005,corn,import
624,Haiti,2006,corn,import
625,Haiti,2007,corn,import
626,Haiti,2008,corn,import
627,Haiti,2009,corn,import
628,Haiti,2010,corn,import
629,Haiti,2011,corn,import
630,Haiti,2012,corn,import
631,Haiti,2013,corn,import
632,Haiti,2014,corn,import
633,Haiti,2015,corn,import
640,Honduras,1990,corn,import
641,Honduras,1991,corn,import
642,Honduras,1992,corn,import
643,Honduras,1993,corn,import
644,Honduras,1994,corn,import
645,Honduras,1995,corn,import
646,Honduras,1996,corn,import
647,Honduras,1997,corn,import
648,Honduras,1998,corn,import
649,Honduras,1999,corn,import
650,Honduras,1900,corn,import
651,Honduras,2001,corn,import
652,Honduras,2002,corn,import
653,Honduras,2003,corn,import
654,Honduras,2004,corn,import
655,Honduras,2005,corn,import
656,Honduras,2006,corn,import
657,Honduras,2007,corn,import
658,Honduras,2008,corn,import
659,Honduras,2009,corn,import
660,Honduras,2010,corn,import
661,Honduras,2011,corn,import
662,Honduras,2012,corn,import
663,Honduras,2013,corn,import
664,Honduras,2014,corn,import
665,Honduras,2015,corn,import
672,India,1990,corn,import
673,India,1991,corn,import
674,India,1992,corn,import
675,India,1993,corn,import
676,India,1994,corn,import
677,India,1995,corn,import
678,India,1996,corn,import
679,India,1997,corn,import
680,India,1998,corn,import
681,India,1999,corn,import
682,India,1900,corn,import
683,India,2001,corn,import
684,India,2002,corn,import
685,India,2003,corn,import
686,India,2004,corn,import
687,India,2005,corn,import
688,India,2006,corn,import
689,India,2007,corn,import
690,India,2008,corn,import
691,India,2009,corn,import
692,India,2010,corn,import
693,India,2011,corn,import
694,India,2012,corn,import
695,India,2013,corn,import
696,India,2014,corn,import
697,India,2015,corn,import
704,Indonesia,1990,corn,import
705,Indonesia,1991,corn,import
706,Indonesia,1992,corn,import
707,Indonesia,1993,corn,import
708,Indonesia,1994,corn,import
709,Indonesia,1995,corn,import
710,Indonesia,1996,corn,import
711,Indonesia,1997,corn,import
712,Indonesia,1998,corn,import
713,Indonesia,1999,corn,import
714,Indonesia,1900,corn,import
715,Indonesia,2001,corn,import
716,Indonesia,2002,corn,import
717,Indonesia,2003,corn,import
718,Indonesia,2004,corn,import
719,Indonesia,2005,corn,import
720,Indonesia,2006,corn,import
721,Indonesia,2007,corn,import
722,Indonesia,2008,corn,import
723,Indonesia,2009,corn,import
724,Indonesia,2010,corn,import
725,Indonesia,2011,corn,import
726,Indonesia,2012,corn,import
727,Indonesia,2013,corn,import
728,Indonesia,2014,corn,import
729,Indonesia,2015,corn,import
736,Israel,1990,corn,import
737,Israel,1991,corn,import
738,Israel,1992,corn,import
739,Israel,1993,corn,import
740,Israel,1994,corn,import
741,Israel,1995,corn,import
742,Israel,1996,corn,import
743,Israel,1997,corn,import
744,Israel,1998,corn,import
745,Israel,1999,corn,import
